,tweet,clean_text
0,"@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",aku dari september mau ptm bener aja ada covid online lagi deh
1," @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM ðŸ¥º",aku tinggal perbatasan bekasi barat jakarta timur cuma dibatasi jembatan tol emang beda banget jakarta ptm
2," @Dj_Bams74 Hahahahaha ðŸ¤£ðŸ˜‚ Abis jatuhin anak orang kabur ðŸ˜‚  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda ðŸ˜‚ Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang ðŸ˜‚ðŸ‘",haha abis jatuhin anak kabur makanya rajin tengok kebawah om sebelum menghina anak lain jangankan bicara fasilitas signal antar daerah aja berbeda jadi sudah benar ptm dilakukan agar pendidikan dapat dirasakan semua
3,TAPI PTM 50% LAGI?? ANJRIT SESIÂ²AN MULU,ptm lagi anjir sesian mulu
4,tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini sudah dipulangkan karena pjj lagi
5,"mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalau pjj tugasnya susah susah
6,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bâ€¦",aneh ketika covid tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan
7,"Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e ðŸ˜‚ðŸ˜‚",ptm tolong segera direvisi jujur siap jemput adek sekolah jauh
8,AAAAAAAAAA MAU PTM AJA,aaaaaa mau ptm aja
9,RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagiâ€¦,realitas kasus kematian covid meningkat dalam sepekan per ada kematian terlalu dini bagi
10,"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, akâ€¦",anakku vaksin termaksud aku uber sana gurunya aku perduli ancam ikut ptm aku
11,"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",alasan saya benci daring karena guru suka seenaknya disuruh belajar bukan jamnya suruh kuis waktunya murid tidur istirahat kalau ptm semisalnya hadir ya paling kuis kalau dipaksain jam pulang lol
12,"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",soalnya emang berhentikan ptm gampang belum dengerin keluhan keluhan selama lanjut lanjut cuma resikonya jadi banyak kena
13,"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",kayaknya gue update buat beberapa soalnya lagi beberes barang buat pindahan deng lebih tepatnya buat persiapan ptm jadi agak sibuk belum lagi nyari kosan kampus gue infonya telat banget jadi grasak grusuk hadeh
14,"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan siaâ€¦",ketika setuju anakmu vaksin alasan ptm vaksin tersebut berakibat buruk anakmu jangan salahkan
