original_tweet,sentiment_result
pjj lgi aja deh atau gk ptm terbatas jg gpp ptm bikin gua kaget capek dihajar tugas pembagian jadwal,7
sedih mulai mingdep udah mulai ptm terbatas lagi,-2
sekolah anak saya tidak ada ptm hari ini krn ada vaksin dosis ke kelas dan infonya bukan karena lonjakan kasus kamis bsk kembali ptm seperti jadwal sebelumnya saya sebagai orang tua juga keberatan dengan info yg serba dadakan dr pihak sekolah,-7
ptm baru minggu ke tapi udah capek bangettugas kelompok terus menerus habis itu belajar cepet,7
mulai minggu depan sekolahku ptm terbatas lagi aaaa,3
semangat pagi utk ptm terbatas,8
horor banget bangun pagi di kasih info minggu depan mulai ptm terbatas,-1
semua tergantung orang tuanya cabut anak suruh daring jika sekolah marah krn anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan juga ndak usah repot anak saya wlu sekolah wajib ptm sdh th ini ttp daring itu hak saya sbg orng tua,-24.5
sekolah rin balik ke ptm gegara ada yg  word trs hari ini rin milih buat ga masuk sekolah krn takut,-1
anak saya yg sd belum saya bolehkan untuk masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan sih nggak ikut ptm hanya dikasih tugas harian saja,-3
saya usul tetap ptm argumentasi saya yg boleh ptm adalah anak yg sudah divaksin yg ptm orangtuanya harus sudah vaksin lengkap protokol kesehatan di sekolah bisa diawasi tahun sekolah online memperlihatkan ketimpangan pendidikan yg parah cukup jangan lagi,-3.5
beberapa waktu lalu saya minta kakak saya agar keponakan saya gak usah ptm minta tugas atau apapun itu sama gurunya barusan kasih kabar lebih dari orang tua melakukan hal yang sama selamatkan anak anak kita,-7
aku kemaren kemaren sebelum ptm begadang terus sampe dini hari tp semenjak ptm badan jadi capek bgt,-2
sekolah anak sy juga ngga berani hentikan ptm sampai kmrn ada anak yg positif covid sekeluarga baru ptm dihentikan tp cuma sementara pejabatnya tenang aja mungkin mikirnya ah yang kena anak ini bukan saya,-3.75
