created_at,username,tweet
,,
7/22/2021 4:15,min__yoon_gi__,"['pjj', 'lagi', 'deh', 'enggak', 'ptm', 'terbatas', 'juga', 'gpp', 'ptm', 'gua', 'kaget', 'capek', 'dihajar', 'tugas', 'pembagian', 'jadwalxexxa']"
,,
7/22/2021 4:15,ndiahnzar_,jul tidak banyak perbezaan ditemui antara vaksin sinovac dan pfizer dalam penggunaan secara praktikal dg hisham 
,,
7/22/2021 4:15,syafri71,pemerintah bersama tni polri terus berupaya untuk membantu masyarakat di tengah pandemi covid berbagai upaya terus dilakukan untuk menekan penyebaran covid di indonesia salah satu contoh kecil sepei diberikannya vaksinasi gratis untuk seluruh masyarakat indonesia guna m 
,,
7/22/2021 4:15,paramaba,anjay udah vaksin
,,
7/22/2021 4:15,LMASAYOSHI,id pemberitahuan talent kami airani iofifteen diketahui terpapar oleh virus covid kondisi iofi stabil bergejala ringan 
,,
7/22/2021 4:15,alldayreall,kalangan epidemiolog dan pemantau pandemi menengarai pemerintah mengurangi jumlah pengetesan agar angka kasus harian covid 
,,
7/22/2021 4:15,sazpower,penceramah agama sebut covid konspirasi dan hoaks mufti ismail menk how can you 
,,
7/22/2021 4:15,zahid_brambang,tidak semua penyedia alat kesehatan tega ambil untung pada saat covid melonjak bahkan di pasar pramuka matraman jaka 
,,
7/22/2021 4:15,polsek_genuk,kapolri jenderal polisi drs listyo sigit prabowo terjun langsung memberikan bantuan sosial ppkm darurat dari pemerintah untuk masyarakat yang terdampak covid di wilayah jawa tengah penerapan ppkm level
,,
7/22/2021 4:15,Purwanto1101,jokowi klaim kasus covid turun dr eva karena jumlah tes berkurang drastis persen 
,,
7/29/2021 3:13,thegardenwell,tolong repo group telegram ni sebarkan gambar arwah mak sedara saya tanpa kebenaran waris berita palsu mak seda 
,,
7/29/2021 3:13,MaisarraAnuar,yb izzah menghadiri mesyuarat prosiding jawatankuasa kira kira wang negara pac berhubung perolehan vaksin covid 
,,
7/29/2021 3:13,babyitsreen,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,EdTaufiq,hulu langat kenapa program vaksin diketuai menteri mosti tapi lepas tengok prestasi menteri kesihatan saya insaf dan so 
,,
7/29/2021 3:13,Swisshhhhhh,tetep semangat buat pejuang covid sehat selalu yaaa 
,,
7/29/2021 3:13,hyonjennn,anjir demi vaksin gue sampe ke banyumanik 
,,
7/29/2021 3:13,_xxhidrolikseu,ceritanya mau vaksin adek umurnya berapa tahun aku tahun seketika bapaknya ngehuleng tarik ngelihat umur sama muka aku gak sinkron 
,,
7/29/2021 3:13,NS_Indah79,diamuk covid varian delta warga as wajib pakai masker lagi aturan wajib masker kembali diterapkan warga amerika serikat yang sudah menerima dua dosis vaksin covid kini perlu memakai maske di tempat umum 
,,
7/29/2021 3:13,brmstiadi,moderna jadi rebutan pejabat pejabat yg sama nyuruh kita percaya vaksin nusantara 
,,
7/29/2021 3:13,Jimbotiram,setelah ribu yang gugur juta dijangkiti akhirnya vaksin di niagakan dan boleh didapati di klinik berhampiran aku keliru samada nak menanagis bersyukur atau ledak baran tendang singki aku keliru 
,,
7/29/2021 3:13,ucuccx,org pandemi sekali lagi menunjukkan bahwa ketimpangan itu nyata rakyat miskin nyaris tak mungkin isoman ketat karena ting 
,,
7/29/2021 3:13,mita34325811,jml yg meninggal krn covid ribu jw rakyat boleh gugat caranya sebelum vaksin ke rs resmi utk rekam medis 
,,
7/29/2021 3:13,pelaritangguh,ibu anak nekat mencopet di antrean vaksin saya tidak punya uang anak saya minta makan 
,,
7/29/2021 3:13,heintje_han,gerombolan covid naik diam menyalahkan pemerintah pusat giliran covid turun muncul bak pahlawan kesiangan 
,,
7/29/2021 3:13,majipancake,dinkes wargi bandung silakan cek jadwal vaksin harian di fasilitas kesehatan di kota bandung pada gambar beriku 
,,
7/29/2021 3:13,Sintya0101,irjen toni hermanto bakal tindak tegas penyebar hoaks vaksin covid satu nusabangsa indonesia 
,,
7/29/2021 3:13,nbaaqi_,astaghfirullah corona tak pites lo ya km
,,
7/29/2021 3:13,imam_nuruzzaman,tuntutan kpk pd terdakwa korupsi bansos covid yg hanya tahun sgt mengecewakan ada jarak yg cukup jauh dari ancam 
,,
7/29/2021 3:13,luvyasyaliana,salut bgt vaksin di gor pakansari jam udah orang 
,,
7/29/2021 3:13,manonotmilea,hudhi sekali lagi ga henti mengingatkan perbaiki birokrasi dapet vaksin di luar jakaa nik kedobel lah st 
,,
7/29/2021 3:13,MudasirRomini,sudah tahun sampai sekarang ada umroh juga dari luar saudi tapi indonesia india srilanka bangladesh malaysia gak boleh masuk selain negara itu boleh masuk umroh asal ada bukti sudah di vaksin
,,
7/29/2021 3:13,Tribrata_RL,pemakaian masker ganda terus dianjurkan untuk mencegah penularan virus corona yang angkanya terus melonjak komitmen atasi pandemi 
,,
7/29/2021 3:13,KiddyUnited,tolong repo group telegram ni sebarkan gambar arwah mak sedara saya tanpa kebenaran waris berita palsu mak seda 
,,
7/29/2021 3:13,BIDHumas_SB,yang punya pengalaman dengan covid yuk berbagi pengalaman untuk memberi motivasi kepada saudara kita yang masih berjuang dan pengetahuan untuk yang belum terserang komitmen atasi pandemi 
,,
7/29/2021 3:13,neyzarariff,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,chocopeachjh14,ga jadi is vaksin nya pada abis 
,,
7/29/2021 3:13,kamelia_zahar,aduh keren bangeeet bapak ini gak punya hp tapi mau vaksin sedangkan yg punya hp follow akun teluuur 
,,
7/29/2021 3:13,msaid_didu,prodem aneh jokowi marah karena ada penumpukan vaksin tapi juta dosis malah terbuang sia sia 
,,
7/29/2021 3:13,asyrafnooh,siape belum dapat appointment vaksin lagi leh dm saya kl or selangor area only tempat cucuk dekat klcc 
,,
7/29/2021 3:13,Momomajeng,adityason kesaksian dari orang yg sudah divaksin petugas vaksinnya larang minum air kelapa abis vaksin untung dia tetap minum 
,,
7/29/2021 3:13,BasmiHamaBuzeRp,pemicu covid 
,,
7/29/2021 3:13,sangbima,masih rame aja sih gini lho mas mba ini perkara takdir jangan karena merasa tidak takut corona you orang bilang mati itu 
,,
7/29/2021 3:13,KrupuKKetan,brai vaksin aszen bekerja dengan cara fitnah ya 
,,
7/29/2021 3:13,Kelvin_Lusichi,campaign imeanza sasa mnataka kudanganywa vile nyinyi kama wakikuyu nyinyi kama waluhya nyinyi kama wakalenjin nyinyi 
,,
7/29/2021 3:13,ssupzecha,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,inshafiqahz,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:13,namdobal,vaksin apa enggak 
,,
7/29/2021 3:13,iqbalhafizon,alfansi jangan sampe donor kecewa dengan tata kelola vaksin di level domestik mas jadi co chair covax gavi teriak soal vaccines inequity tapi di dalam negeri malah sebaliknya 
,,
7/29/2021 3:13,krisnawan1977,polsek seltim berbagai dimasa pandemi corona
,,
7/29/2021 3:13,lovelychoding,bete ga jadi vaksin ke abisan kuota udah penuh padahal ku pagi dateng nya tetep ga kebagian 
,,
7/29/2021 3:13,opinidion,lagi dan lagi dapet kabar teman kerja di tempat lama meninggal akibat gagal nafas setelah sesak nafas beliau didiagnosis positif covid beliau koki yang asik baik hati dan suka becanda selalu jadi imam anak di mushola tempat kerja orang baik ditempatkan terbaik amin
,,
7/29/2021 3:13,bunk_zae,belum terkendali covid ri tambah kasus hari ini silahkan datang biar ditunjukin ke komuknya 
,,
