created_at,username,tweet
,,
1/3/2021 12:02,nsbmh_,"['pjj', 'lagi', 'deh', 'enggak', 'ptm', 'terbatas', 'juga', 'gpp', 'ptm', 'gua', 'kaget', 'capek', 'dihajar', 'tugas', 'pembagian', 'jadwalxexxa']"
,,
1/3/2021 12:02,Pakdedy2,majelis agama islam singapura memegang posisis bhwa vaksin covid di izinkan untuk digunakan umat muslim 
,,
1/3/2021 12:02,Hanifah933,bagi nakes tenaga kesehatan yg mau ngecek apakah namanya sudah masuk dlm program vaksin gratis dari pemerintah silahkan k 
,,
1/3/2021 12:02,mbahutistp,jelo didalam negeri ribut dgn halal tidaknya sinovac justru di saudi arabia telah melakukan vaksin pada warganya 
,,
1/3/2021 12:02,qielafzan,ajaib assalamualaikum ada sesiapa berminat nak beli hp blackberry bold amp kasut secondhand if berminat sila dm saya ikhtiar jua 
,,
1/3/2021 12:02,shineedudes,rencananya program vaksinasi covid di indonesia tuntas dalam waktu bulan mulai dari januari dan akan rampung pa 
,,
1/3/2021 12:02,ar_9091,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
,,
1/3/2021 12:02,RadioRTM_Rasmi,anda kes positif yang berada di rumah patuhi langkah langkah ini bagi memutuskan rantaian jangkitan covid 
,,
1/3/2021 12:02,MalaysiaGazette,anwar enggan berbalah dengan tun m kematian covid 
,,
1/3/2021 12:02,Thermovisi,koko kesadaran dalam diri di masyarakat menurun dok soal covid ini 
,,
1/3/2021 12:02,zaeyyie,stein barusan saya buka aplikasi al qur an indonesia di android tiba tiba ada notifikasi begini kedua orang tua pembuat aplikasi 
,,
1/3/2021 12:02,ShazrifHisham,terkini kes baharu covid hari ini termasuk kes impo perak rekodkan kes baharu perincian menyusul di th 
,,
1/3/2021 12:02,Finishars,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
,,
1/3/2021 12:02,zakwanabqarie_,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
,,
1/3/2021 12:02,Antara_Jabar,biofarma sebut tidak ada kendala distribusi vaksin ke seluruh indonesia antara news jawa barat 
,,
1/3/2021 12:02,AkiraYuzue,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
,,
1/3/2021 12:02,mbahutistp,jelo ini daftar yg siap d ia vaksin dwi ahmadyu 
,,
1/3/2021 12:02,nsbmh_,ajaib assalamualaikum ada sesiapa berminat nak beli hp blackberry bold amp kasut secondhand if berminat sila dm saya ikhtiar jua 
,,
1/3/2021 12:02,Pakdedy2,majelis agama islam singapura memegang posisis bhwa vaksin covid di izinkan untuk digunakan umat muslim 
,,
1/3/2021 12:02,Hanifah933,bagi nakes tenaga kesehatan yg mau ngecek apakah namanya sudah masuk dlm program vaksin gratis dari pemerintah silahkan k 
,,
1/3/2021 12:02,mbahutistp,jelo didalam negeri ribut dgn halal tidaknya sinovac justru di saudi arabia telah melakukan vaksin pada warganya 
,,
1/3/2021 12:02,qielafzan,ajaib assalamualaikum ada sesiapa berminat nak beli hp blackberry bold amp kasut secondhand if berminat sila dm saya ikhtiar jua 
,,
1/3/2021 12:02,shineedudes,rencananya program vaksinasi covid di indonesia tuntas dalam waktu bulan mulai dari januari dan akan rampung pa 
,,
1/3/2021 12:02,ar_9091,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
,,
1/3/2021 12:02,RadioRTM_Rasmi,anda kes positif yang berada di rumah patuhi langkah langkah ini bagi memutuskan rantaian jangkitan covid 
,,
1/3/2021 12:02,MalaysiaGazette,anwar enggan berbalah dengan tun m kematian covid 
,,
1/3/2021 12:02,Thermovisi,koko kesadaran dalam diri di masyarakat menurun dok soal covid ini 
,,
1/3/2021 12:02,liranti,segala upaya pansos dengan memanfaatkan pandemi covid sungguh tidak lucu ada nyawa manusia disini yang kamu permainkan 
,,
1/3/2021 12:02,godham5,yang mengatakan vaksin sinovac ngak halal jangan percaya demi mari kita lawan provokasi 
,,
1/3/2021 12:02,SeanAkbar4,rusli kalau gue terus terang tunggu vaksin apa yang dibeli oleh sultan hassanal bolkiah yang dipeuan negeri brunei darussa 
,,
1/3/2021 12:02,TgAthiya,kes positif ong tai kim gombak sebentar tadi fb pasaraya ong tai kim mengesahkan seorang pekerja mereka di gombak positif 
,,
1/3/2021 12:02,Gus_Jengking,untuk saat ini vaksin tersebut masih menunggu persetujuan emergency use authorization eua dari ri apabila izinnya 
,,
1/3/2021 12:02,tiff_nni,kenapa wuhan bisa pay tahun baru tanpa vaksin gak perlu bikin teori konspirasi udah ada prakteknya kita aja yg gak 
,,
1/3/2021 12:02,eihdelweis,stein barusan saya buka aplikasi al qur an indonesia di android tiba tiba ada notifikasi begini kedua orang tua pembuat aplikasi 
,,
1/3/2021 12:02,Ganangredcliff,stein barusan saya buka aplikasi al qur an indonesia di android tiba tiba ada notifikasi begini kedua orang tua pembuat aplikasi 
,,
1/3/2021 12:02,myeowwwww,ikea umum cawangannya di damansara ditutup mulai hari ini susulan beberapa kes positif covid dikesan dalam kalangan 
,,
1/3/2021 12:02,umaru06,repo membedah tweet akun kak selama wabah covid di tuk memahami respon pemerintah berikut t 
,,
1/3/2021 12:02,0lla____,rania teman semua minta doanya buat sobib gw sastro pedhal ya sedang di rawat di rs bcos covid semoga di sembuhkan dari 
,,
1/3/2021 12:02,aisyahmn__,berikut adalah perincian kes baharu covid di negeri perak hari ini 
,,
1/3/2021 12:02,shineedudes,pemerintah telah mendatangkan juta dosis vaksin covid ke tanah air kehadiran vaksin tersebut membawa ha 
,,
1/3/2021 12:02,abdulrtah,karena netizen kepo jubir kelabakan 
,,
1/3/2021 12:02,Gus_Jengking,pemerintah telah mendatangkan juta dosis vaksin covid ke tanah air kehadiran vaksin tersebut membawa ha 
,,
1/3/2021 12:02,ShaAzhm,ikea umum cawangannya di damansara ditutup mulai hari ini susulan beberapa kes positif covid dikesan dalam kalangan 
,,
1/3/2021 12:02,OethoenSlow,di tengah covid bpjs tetap naik pemerintah tetap menaikkan besaran iuran bpjs kesehatan mulai januari untuk pesea 
,,
1/3/2021 12:02,MakmurJohor01,info makmur johor taburan data kes covid di negeri johor kemaskini sehingga januari 
,,
1/3/2021 12:02,DamiYuh,orang malaysia nak free from covid macam new zealand tapi kita buat perangai macam orang amerika masa pandemik pi pa 
,,
1/3/2021 12:02,ajunaedi05_,sekarang lagi ramai ramainya masalah pengesahan ruu cipta kerja ya terus bagaimana dengan pandemi covid apakah masih 
,,
1/3/2021 12:02,uyulizatul,sazali tak puas hati kkm rancang kuarantin di rumah untuk kes covid risiko rendah tak duduk rumah sebab takde lockdown t 
,,
1/3/2021 12:02,alyafrina_,baru dapat info thailand baru je lockdown lepas kes covid naik jadi cases 
,,
1/3/2021 12:02,koran_metro,ngeri banget warga bojong rawalumbu terpapar covid dicuekin tak ada tindakan dari satgas 
,,
1/3/2021 12:02,Media_Selangor,video covid sembuh kematian 
,,
1/3/2021 12:02,bekasi_pedia,ngeri banget warga bojong rawalumbu terpapar covid dicuekin tak ada tindakan dari satgas 
,,
1/3/2021 12:02,idntimes,jumlah penumpang kapal libur akhir tahun anjlok persen 
,,
1/3/2021 12:01,Kodim_Sragen,minggu pukul wib anggota koramil sambungmacan melaksanakan kegiatan penegakan disiplin dan penerapan protokol kesehatan covid di wilayah kec sambungmacan 
,,
1/3/2021 12:01,futurexbatman,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
,,
1/3/2021 12:01,drging1,penyebab nya covid pembentukan anti body perlu bbrp bulan mk sebln kmd hrs di booster slm blm terbtk tetap hrs m 
,,
1/3/2021 12:01,andamakapela,my year old son uxelele umakhulu wakhe that ngumamakhe lo wandosulela nge covid 
,,
1/3/2021 12:01,muhd24amiruldin,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
,,
1/3/2021 12:01,nabilalsag0ff,tunaikan sahajalah permintaan rakyat agar pengeluaran i sinar kwsp tanpa syarat atau kriteria 
,,
