id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@hooneeystaars Masih PTM,ptm,in,0,432,KY0JURO_,,,hooneeystaars,Isekai ,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fadlizon: Luhut Tolak Permintaan Anies Tutup PTM, Fadli Zon: Gunakan Akal Sehat Pak LBP https://t.co/NC0Ein4E1m",luhut tolak permintaan anies tutup ptm fadli zon gunakan akal sehat lbp,in,0,10,bmbgst,FALSE,,fadlizon,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Dj_Bams74 Makanya rajin tengok kebawah om sebelum menghina anak orang lain

Jangankan bicara fasilitas signal antar daerah aja berbeda 😂

Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",rajin menjenguk kebawah om menghina anak lain jangankan bicara fasilitas signal daerah aja berbeda benar ptm agar pendidikan dirasakan,in,0,0,Catatan_ali7,,,Dj_Bams74,JL kopral sayom Klaten,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:11 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",luhut tolak permohonan anies setop ptm fadli zon bertanggungjawab,in,0,5,muchtamarudin,FALSE,,fadlizon,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:08 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @marlina_idha: Luhut Tolak Permintaan Anies untuk Setop PTM di Jakarta

OMG 🙄 https://t.co/SrY2i2HoBZ",luhut tolak permintaan anies untuk setop ptm jakartaomg,in,0,149,herrikusnadi,FALSE,,marlina_idha,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:33:02 +0000 2022,"<a href=""https://era.id/"" rel=""nofollow"">Era.ID</a>",Kebijakan ini berbeda dengan keinginan Anies yang mengusulkan kepada Pemerintah Pusat untuk menghentikan PTM 100 persen. https://t.co/uqaKJb3tL4,kebijakan berbeda anies mengusulkan pemerintah pusat untuk menghentikan ptm,in,0,0,eradotid,FALSE,,,Jakarta Capital Region,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@onyourjiae owalah bisa bisa nya yg niat PTM cumn 5 orang 😩,owalah niat ptm cumn,in,0,0,Dsichenggf,,,onyourjiae,⌕ she/her ˖ ,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Catatan_ali7: @Dj_Bams74 Hahahahaha 🤣😂

Abis jatuhin anak orang kabur 😂 

Makanya rajin tengok kebawah om sebelum menghina anak orang l…",hahahahaha habis jatuhin anak kabur rajin menjenguk kebawah om menghina anak l,in,0,1,Catatan_ali7,,,"Catatan_ali7, Dj_Bams74",JL kopral sayom Klaten,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@bringdreambetru Mungkin lagi engg ptm chel sekolahnya,mungkin lagi engg ptm chel sekolahnya,in,0,0,masssJake_,,,bringdreambetru,He or Him,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",aku tinggal perbatasan bekasi barat jakarta timur dibatasi jembatan tolemang beda banget jakarta ptm,in,1,0,denni_aprianty,,,KeripikMama_87,"Sukawati, Indonesia",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Dj_Bams74 Hahahahaha 🤣😂

Abis jatuhin anak orang kabur 😂 

Makanya rajin tengok kebawah om sebelum menghina anak orang lain

Jangankan bicara fasilitas signal antar daerah aja berbeda 😂

Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",hahahahaha habis jatuhin anak kabur rajin menjenguk kebawah om menghina anak lainjangankan bicara fasilitas signal daerah aja berbeda benar ptm agar pendidikan dirasakan,in,0,1,Catatan_ali7,,,Dj_Bams74,JL kopral sayom Klaten,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:33 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @fadlizon: Fadli Zon Minta Luhut Gunakan Akal Sehat Soal PTM di DKI Jakarta | https://t.co/Ji1EcB91QN https://t.co/XvTZEzwdpw,fadli zon luhut gunakan akal sehat ptm dki jakarta,in,0,7,muchtamarudin,FALSE,,fadlizon,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,ptm lagi anjng sesian melulu,in,0,0,lificiizz,,,,TEULAND 08,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:28 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bantah Usulan Anies Soal PTM Ditolak Luhut, Wagub DKI: Masa Mau Semua Dipenuhi
 
https://t.co/KbvKr7qwyI",bantah usulan anies ptm ditolak luhut wagub dki dipenuhi,in,0,0,Tribun_Jakarta,FALSE,,,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@itsviviannie nggak, udh ptm. bawa kuee 🍰",udah ptm bawa kuee,in,0,0,gpinkim,,,itsviviannie,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:32:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AlbertSolo2: Kementerian pendidikan Nasional memberikan ijin kepada para kepala daerah untuk menghentikan sementara waktu, pelaksanaan…",kementerian pendidikan nasional ijin kepala daerah untuk menghentikan sementara pelaksanaan,in,0,1,AlbertSolo2,,,AlbertSolo2,"Surakarta, Jawa Tengah",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:58 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kementerian pendidikan Nasional memberikan ijin kepada para kepala daerah untuk menghentikan sementara waktu, pelaksanaan PTM terbatas di wilayahnya, jika kasus Covid-19 di tengah pelaksanaan PTM terbatas di wilayah tersebut sangat tinggi, seperti yang terjadi di Karawang.",kementerian pendidikan nasional ijin kepala daerah untuk menghentikan sementara pelaksanaan ptm terbatas wilayahnya kasus covid pelaksanaan ptm terbatas wilayah tinggi seperti karawang,in,1,1,AlbertSolo2,,,,"Surakarta, Jawa Tengah",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CNNIndonesia: Luhut Tolak Pengajuan Anies Setop PTM DKI Jakarta https://t.co/WaOKzowziv,luhut tolak pengajuan anies setop ptm dki jakarta,in,0,432,bangcepe7,FALSE,,CNNIndonesia,"Bojonegoro, Jatim, Indonesia",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini dipulangkan pjj lagi,in,0,0,namjoonivara,,,,namstudy.,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SINDOnews: Kasus Covid-19 Meningkat, Pemkot Depok minta Penghentian PTM.
Selengkapnya https://t.co/8pIaV6YoAK https://t.co/k7AvPLYRFu",kasus covid meningkat pemerintah kota depok penghentian ptm selengkapnya,in,0,1,SumardiEvulae,FALSE,,SINDOnews,"Simeulue, Nangro Aceh Darussal",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CNNIndonesia: Luhut Tolak Pengajuan Anies Setop PTM DKI Jakarta https://t.co/WaOKzowziv,luhut tolak pengajuan anies setop ptm dki jakarta,in,0,432,ron_tomino,FALSE,,CNNIndonesia,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@schfess Ptm 50%, dom jaktim",ptm dom jaktim,in,0,0,klsvra,,,schfess,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalau pjj tu tugasnya susah susah,in,0,0,ksjyupa,,,,indonesia,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:31:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Mdy_Asmara1701: Luhut Tolak Permintaan Anies untuk Setop PTM di Jakarta
https://t.co/ZpDvJkyOYQ",luhut tolak permintaan anies untuk setop ptm jakarta,in,0,493,rizal9973,FALSE,,Mdy_Asmara1701,jakarta,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh harusnya covid sdg tinggi ptm dihentikan sementara kalau landai ptm dilanjutkan b,in,0,259,Smartfit10,,,fadlizon,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @marlina_idha: Luhut Tolak Permintaan Anies untuk Setop PTM di Jakarta

OMG 🙄 https://t.co/SrY2i2HoBZ",luhut tolak permintaan anies untuk setop ptm jakartaomg,in,0,149,rizal9973,FALSE,,marlina_idha,jakarta,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@gupismile pjj ni tapi mingdep ptm lagii,pjj ptm lagii,in,0,0,jjnolee23,,,gupismile,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AAAAAAAAAA MAU PTM AJA,aaaaaaaaaa ptm aja,in,0,0,aylste,,,,hatimu ea,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam sepekan bahkan ada kematian,in,0,1195,lakuna__,,,ProfesorZubairi,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@denni_aprianty Iya Bun..Dea msh PTM...,bun dea ptm,in,0,34,KeripikMama_87,,,denni_aprianty,"DKI Jakarta, Indonesia",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, ak…",anakku vaksin termaksud aku uber ma gurunya aku perduli ancam ikut ptm aku,in,0,2,ridhorahadi,,,IndahKu64617720,"DKI Jakarta, Indonesia",
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",alasan saya benci daring guru suka seenaknya disuruh belajar bukan jamnya suruh kuis murid tidur istirahat kalau ptm hadir paling kuis kalau dipaksain jam pulang tertawa,in,0,0,nniss_a7,,,,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",sih kei emang berhentikan ptm gampang belum dengerin keluhan keluhan gitu resikonya kena,in,0,0,_pitikcilik,,,AoiLunatic88,,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:10 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",kayaknya gue update lagi beberes barang pindahan deng tepatnya persiapan ptm agak sibuk belum lagi kosan kampus gue infonya terlambat banget grasak grusuk hadeeh,in,0,0,jjmxn__,,,,택국 city,
,,,,,,,,,,,,,
1.49E+18,Fri Feb 04 02:30:09 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh harusnya covid sdg tinggi ptm dihentikan sementara kalau landai ptm dilanjutkan b,in,0,259,diditmuhammad,,,fadlizon,Singapore,
,,,,,,,,,,,,,
