id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:53:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasus covid ningkat bgt tp ini dom gue anak sekolah ttp ptm tuh gimana, gue takut bgt, apalagi ade gue yg masih sd susah bgt diaturnya, berangkat pake masker pas di sekolah dilepas😭 ga kenal apa itu jaga jarak😭",kasus covid ningkat bnget dom anak sekolah ttap ptm tuh takut bnget ade sd susah bnget diaturnya berangkat pakai masker pas sekolah dilepas ga kenal jaga jarak,in,0,0,shannapon,,,,Indonesia,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:53:11 +0000 2022,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Dinas Kesehatan (Dinkes) Solo, Jawa Tengah, mencatat ada 11 sekolah, baik jenjang SD, SMP hingga SMA di Solo yang siswanya terpapar Covid-19. https://t.co/zXiwIMhOm8",dinas kesehatan dinkes solo jawa mencatat sekolah jenjang sd smp hingga solo siswanya terpapar covid,in,0,0,kompascom,FALSE,,,Jakarta,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:52:38 +0000 2022,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Disdik DKI Jakarta Menyiapkan Diskresi Terkait Kebijakan PTM https://t.co/c7e4h2XmCr,disdik dki jakarta menyiapkan diskresi terkait kebijakanptm,in,0,0,BimataIndonesia,FALSE,,,,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:52:21 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",sekolah bekasiptm ditutup pemerintahtapi masukngga perlu pakai seragamkenapa ptm mos,in,0,208,hamoebaa,,,mouldie_sep,Indonesia,
,,,,,,,,,,,,,
1.4888E+18,Wed Feb 02 08:52:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@schfess PTM: Pembelajaran Tatap Monitor adanya, hehe...",ptm pembelajaran tatap monitor he,in,0,0,abu_mahdzuroh,,,schfess,"Kota Madiun, Jawa Timur",
,,,,,,,,,,,,,
