tweet,Perbaikan
 @bringdreambetru Mungkin lagi engga ptm chel sekolahnya,mungkin lagi ptm chat disekolahnya
" @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",aku tinggal pembatasan bekasi barat jakarta timur cuma dibatasi jembatan tol emang beda banget jakarta ptm
" @Dj_Bams74 Hahahahaha 🤣😂 Abis jatuhin anak orang kabur 😂  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda 😂 Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",haha abis jatuhin anak kabur makanya rajin tengok kebawah om sebelah menghina anak lain jangankan bicara fasilitas signal pantar darah aja berbeda jadi sudah benar ptm dilakukan agar pendidikan dapat dirasakan semua
TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,ptm lagi anjir sesian mulu
tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini sudah dipulangkan karena pjj lagi
"mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalau pjj susahnya susah susah
"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh kesima covid tinggi ptm dihentikan sementara kalau sudah handai ptm dilanjutkan
@gupismile pjj ni tapi mingdep ptm lagii,pjj ptm lagi
AAAAAAAAAA MAU PTM AJA,aaaaaa mau ptm aja
RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam serakan pere ada kematian terlalu gini bagi
"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, ak…",anak vaksin bermaksud aku uber saja lucunya aku perduli ancam ikut ptm aku
"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",alasan saya benci daring karena guru suka seenaknya disuruh belajar bukan jamnya suruh kuis waktunya murid tidur istirahat kalau ptm semisalanya hadir kuis kalau dipaksain jam pulang lol
"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",soalnya emang berhentikan ptm gampang belum dengerin keluhan keluhan selama lanjut lanjut cuma resikonya jadi banyak kena
"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",kayaknya gue update buat beberapa soalnya lagi beberes barang buat pidahan deng lebih tepatnya buat persiapan ptm jadi agak sibuk belum lagi nyari kosan kampus gue infonya telat banget jadi grasak grusuk hadeh
"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan sia…",kesima setuju anak vaksin alasan ptm vaksin tersekat berakibat buruk anak jangan salahkan
"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkel😔

Bisa ga sih pjj rasa ptm gitu😭",pengenalan pjj lucunya ngasih materi susahnya usah banyak banyak kalau ptm pengenalan dikurangin kasih kerja kelompok pjj rasa ptm
mending PTM si bener kalau daring banyak bangt tugas nya,mending ptm bener kalau daring banyak banget tugas
kangen ptm https://t.co/Yo8Jdg3O4Z,kangen ptm
jangan ptm dulu huahua :( tunggu gue sembuh duluuu,jangan ptm huhuu tunggu gue sembuh dulu
"yg masih ptm enak bgt deh, aku iri :(",ptm enak banget deh aku iri
"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",kangen banget kemarin ptm kangen gangguin prema ajus hue
"@sccumma Emg kita kyknya bakal gt ga sih 😭😭

Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",emg kayaknya bakal sekolah gue dari semangat banget ptm sekarang katanya lagi lockdown selama
"@4ivengers HAH KOK ENAK PTM, AING DARING",hah enak ptm aing daring
Tumben @fadlizon punya akal sehat untuk mengajak orang menggunakan akal sehat. https://t.co/yjlC8pF6ni,tumben punya akal sehat mengajar menghinakan akal sehat
harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,kalau berani mencetuskan ptm sudah siap dong penanggulangan kayak tempat karantina aja kaga disediain kalau seumpa ada positif gimana dah masa mau tetap kosan meanwhile doang tinggal disitu
"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orang…",kalau emang pjj situasi kayak aku dukung deh yaampun lebih suka ptm karena tiap dikepung orang-orangan
ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,aahh mood anjir ptm mau lagi
"@yilowin engga, hari ini yang ptm yang sesi 2",ptm sesi
MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,ptm pjj lagi gue kesel banget sial
"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh 🙄 https://t.co/UfU5c8a9IB",seneng ngerasain ptm eh sekarang malah lagi hadeh
Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astaga😩,kesima sudah seneng mingdep mau berpelajaran ptm ehh malah jadi rasanya kayak banyak why ada senang ketemu guru kial ada sedih ketemu teman skors serta salah astaga
"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",gue mau pjj asli lebih milih ptm jam kosong pjj
