id,Opini,Bahasa,Sentimen
0,"PJJ lgi aja deh, atau gk ptm terbatas jg  ptm bikin gua kaget capek dihajar tugas pembagian jadwal",Indonesia,
1,sedih mulai mingdep udah mulai ptm terbatas lagi :((',Indonesia,Negatif
2,"Sekolah anak saya tidak ada PTM hari ini krn ada vaksin dosis ke 2 kelas 3,4, dan 5 infonya. Bukan karena lonjakan kasus. Kamis bsk kembali PTM seperti jadwal sebelumnya. Saya sebagai orang tua juga keberatan dengan info yg serba dadakan dr pihak sekolah.",Indonesia,
3,"Ptm baru minggu ke 3 tapi udah capek bangetTugas kelompok terus menerus, habis itu belajar cepet'",Indonesia,
4,Mulai Minggu depan sekolahku PTM  terbatas lagi aaaa,Indonesia,Positif
5,Semangat pagi utk PTM TERBATAS ,Indonesia,Positif
6,"horor banget, bangun pagi di kasih info minggu depan mulai ptm terbatas",Indonesia,
7,"Semua tergantung orang tuanya, cabut anak suruh daring, jika sekolah marah krn anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan juga, ndak usah repot, anak saya wlu sekolah wajib PTM, sdh 2 th ini ttp Daring, itu hak saya sbg orng tua.",Indonesia,
8,sekolah rin balik ke 50% ptm gegara ada yg c word. trs hari ini rin milih buat ga masuk sekolah krn takut,Indonesia,
9,"Anak saya yg SD belum saya bolehkan untuk masuk sekolah (PTM). Sedihnya, sekolah ""katanya"" sudah meniadakan daring, karena sudah PTM 100%...Diperbolehkan sih nggak ikut PTM, hanya dikasih tugas harian saja..",Indonesia,Negatif
10,"Saya usul tetap PTM. Argumentasi saya : - Yg boleh PTM adalah anak yg sudah divaksin. - Yg PTM orangtuanya harus sudah vaksin lengkap. - Protokol kesehatan di sekolah bisa diawasi - 1,5 tahun sekolah online memperlihatkan ketimpangan pendidikan yg parah. Cukup, jangan lagi",Indonesia,
11,"beberapa waktu lalu saya minta kakak saya agar keponakan saya gak usah PTM... minta tugas atau apapun itu sama gurunya.... barusan kasih kabar, lebih dari 40 orang tua melakukan hal yang sama... selamatkan anak anak kita..",Indonesia,
12, Aku kemaren kemaren sebelum ptm begadang terus sampe dini hari tp semenjak ptm badan jadi capek bgt,Indonesia,Positif
13,"Sekolah anak sy juga ngga berani hentikan ptm, sampai kmrn ada anak yg positif covid sekeluarga, baru ptm dihentikan, tp cuma sementara. Pejabatnya tenang2 aja, mungkin mikirnya: ah yang kena anak2 ini, bukan saya..",Indonesia,
14,"@subschfess Klo pjj mkn ku teratur soalny plang kmpung ada ibu yg masak,klo ptm jdi anak kos2an mles masak mau beli rugii wkwk",Indonesia,
15,"Di sekolah anak saya,... walau anak tdk bersedia di vaksin, masih diperbolehkan PTM koq...tdk ada perbedaan...",Indonesia,
16,"di sekolah gua udah 5 yang kena covid tp sekolah ttp kekeuh buat ptmt, kalo udah 5% baru libur 2 minggu. nunggu tumbal apa gimana? sekolah mau bayar biaya perawatannya kah kalo misalkan kena? mau ngegantiin nyawa kalo sampe ada yang",Indonesia,
17,"anjrit kmrn kakel gua skrng temen seangkatan gua ada yg kena cororong, untung aja kmrn emak gua ga ijinin masuk ptm",Indonesia,Negatif
18,"Top bu. Saya jg begitu saat diminta isi form vaksin. Klo vaksin mjd syarat ptm, anak saya online aja. Dibilang ga ada pembelajarn online. Saya jawab yaa udah anak kami kluar. Ehh....dihub agar masuk sekolah setelah 2 hari ga sekolah",Indonesia,
19,"Kasian anak pandemi. Gak punya temen. Mainnya sama sepupu doang. Begitu ngaji PTM, seneng banget dia. Selalu ceria",Indonesia,Positif
20,"Alhamdulillah skrng udah normal semenjak ptm lagii,pas sebelum ptm pasti tidur diatas jam 12 gituan",Indonesia,Positif
21,Lintang blm sekolah tp sudah mengaji. Ngajinya semester ini full PTM semester sebelumnya online,Indonesia,
22,SchApp! anak kelasku pada banyak yang gamasuk woyy pada sakit jadi takut ptm,Indonesia,Negatif
23,"PTM, pjj bikin mls dh asli",Indonesia,
24,tetap ptm walau gk ngerjain tugas',Indonesia,
25,"@schfess pjj santai, ptm lebih cepet paham materi'",Indonesia,Positif
26,"aku mau seneng ga ada ptm ga jadi ulangan, tapi ga ada ptm karna berita duka gmn ya",Indonesia,
27,@bluendsun entah kenape guru guru pas ptm ngeselin semua\nngasik tugas aneh aneh',Indonesia,
28, mending ptm ga she,Indonesia,Positif
29,skolah swasta gtw ada yg mreka msi ptm ato g hti2 dah ato g negri',Indonesia,
30," dulu suka pjj, bisa santai bisa males malesan dulu, tapi lama kelamaan bosen dan pengen ptm biar paham",Indonesia,Positif
31," semangat juga buat kamu yg lagi ptm, jangan aneh-aneh di sekolah",Indonesia,Positif
32,"@junkyu_yeochin wii semangatt!! aq sebelumnya juga ptm tiap hari, krna dikelas q ada yg kena covid jadi pjj lagi'",Indonesia,
33,Semoga PTM diberentikan deh kak. Di jakarta udah 90 sekolah ditutup gegara ada kasus positif,Indonesia,Negatif
34,"Iya sih,sy gak ngijinin anak saya di vaksin mbak, krn anak saya dr kecil sering di rawat di RS,sy gak mau ambil resiko, gak tau ini besok boleh PTM atau gak",Indonesia,Negatif
35,GAJADI WKWK ADA HARAPAN PTM KALO SAMPE BESOK KASUS + NYA 0,Indonesia,
36,ini ptm kenapa kebanyakan tugasnya kelompok sih,Indonesia,Negatif
37,"Udah hari kamis aja nih. Awali hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",Indonesia,Positif
38,anj lahh dah siap-siap taunya ga ada ptm,Indonesia,
39,ak heran sm skolah yg ad kasus kopit di skolahny tp ttp adain ptm,Indonesia,Negatif
40,@imurjoyiie Ptm tidak seindah yg diharapkan,Indonesia,
41,"Enak banget yang ptm, mau ptm :('",Indonesia,
42,"gua kira udh ptm jam tdrnya bakal berubah, ternyata sama ajaa. malah makin parah'",Indonesia,Negatif
43,"@schfess pjj, gatau kenapa semenjak ptm tuh semangat gua jadi hilang trus jadi ngga niat'",Indonesia,Negatif
44,"ni kebijakan PTM gak mau ditinjau lagi nih. Sekolah anak saya dah ada kejadian SD dan SMA habis PTM keesokannya positif jd merepotkan semua yg ikut PTM kena tracing hrs sekeluarga PCR dll. Walaupun belum pasti kenanya di sekolah, bisa jd cluster baru",Indonesia,Negatif
45,Wow temen sekolah LL uda ada yg positive mericon,Indonesia,
46,Jika ada yg positif bisa kena tracing semua.. lbh baik seminggu PTM trus lanjut 2 minggu daring..thn kemaren anak saya sistemnya begini,Indonesia,Negatif
47,gue gamau pjj ajg udah enak bgt ptm',Indonesia,
48,"@schfess: Sch! Kalian ada ngga sih yang sejak ptm rasanya capeek bgttt, padahal bentaran doang",Indonesia,Negatif
49,@convomfs Ptm 100% tapi waktu belajarnya belum normal masih blik jam 12:30',Indonesia,Negatif
50," enakk ptm, btw pagi'",Indonesia,Positif
51,@myngklx semangat ptm nyaa',Indonesia,Positif
52,belum full 1 bulan ptm udah di suruh pjj lagi mana tugas kelompok banyak benerr,Indonesia,
53,"Hari ini ptm, males bngt'",Indonesia,Negatif
54,@schfess huaaa aku malah pjj trs nder huhu :( gak nyobain ptm malah :((',Indonesia,
55,kenapa kalo bangun buat pjj ngantuk bngt tapi pas ptm ngga terlalu,Indonesia,Positif
56,'Ih bentar lagi PTM aku gk siap bertemu macam2 ras manusia meskipun aku berasal dari ras trkuat di muka bumi (read:wibu)',Indonesia,Negatif
57,enak jink gue malah maunya pjj cape bget ptm',Indonesia,Negatif
58,"'PJJ DONG AIH MALAH PTM MULU, JABA TUGAS KELOMPOK WAE'",Indonesia,
59,Gak tau kenapa semenjak ptm aku jadi lebih males',Indonesia,Negatif
60,@Asahiyaap aku pjj jugaa hiks pengen ptm',Indonesia,Positif
