clean_tweet,sentiment_result
pjj lagi aja deh gak ptm terbatas ptm gua kaget capek dihajar tugas pembagian jadwal,4.0
sedih mulai udah mulai ptm terbatas lagi,-2.0
sekolah anak saya tidak ada ptm karena ada vaksin dosis kelas infonya bukan karena lonjakan kasus besok kembali ptm seperti jadwal sebelumnya saya sebagai tua keberatan info serba dadakan dari pihak sekolah,-56.0
ptm sudah capek banget tugas kelompok menerus habis belajar cepet,10.0
mulai depan sekolahku ptm terbatas lagi aaaa,2.0
semangat pagi ptm terbatas,8.0
horor banget bangun pagi kasih info depan mulai ptm terbatas,-2.0
semua tergantung tuanya cabut anak suruh daring jika sekolah marah karena anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan ndak usah repot anak saya walau sekolah wajib ptm sudah tetap daring hak saya sebagai tua,-33.0
sekolah rin balik ptm gegara ada word rin milih buat masuk sekolah karena takut,-3.0
anak saya sd belum saya bolehkan masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan enggak ikut ptm dikasih tugas harian saja,-9.0
saya usul tetap ptm argumentasi saya boleh ptm adalah anak sudah divaksin ptm orangtuanya sudah vaksin lengkap protokol kesehatan di sekolah diawasi sekolah online memperlihatkan ketimpangan pendidikan parah cukup jangan lagi,-6.0
beberapa lalu saya minta saya agar keponakan saya gak usah ptm minta tugas apapun sama gurunya barusan kasih kabar lebih dari tua melakukan hal sama selamatkan anak anak,-14.0
aku kemaren kemaren sebelum ptm begadang sampai dini semenjak ptm badan jadi capek banget,4.0
sekolah anak saya ngga berani hentikan ptm sampai kemarin ada anak positif covid sekeluarga ptm dihentikan tp cuma sementara pejabatnya tenang aja mungkin mikirnya ah kena anak bukan saya,-7.0
kalau pjj makan teratur soalny pulang kmpung ada ibu masak kalau ptm jadi anak kosan males masak mau beli rugi wkwk,10.0
sekolah anak saya walau anak tidak bersedia vaksin diperbolehkan ptm kok tidak ada perbedaan,-20.0
sekolah gua udah kena covid tp sekolah tetap kekeh buat ptmt kalau udah libur nunggu tumbal sekolah mau bayar biaya perawatannya kah kalau misalkan kena mau ngegantiin nyawa kalau sampai ada,21.0
anjir kemarin kakel gua sekarang temen seangkatan gua ada kena cororong untung aja kemarin emak gua ga ijinin masuk ptm,-9.0
top bu saya begitu diminta isi form vaksin kalau vaksin menjadi syarat ptm anak saya online aja dibilang ada pembelajarn online saya jawab yaa udah anak keluar ehh dihub agar masuk sekolah setelah sekolah,-12.0
kasian anak pandemi gak punya temen mainnya sama sepupu doang begitu ngaji ptm seneng banget selalu ceria,1.0
alhamdulillah sekarang sudah normal semenjak ptm lagi sebelum ptm pasti tidur jam gituan,9.0
lintang belum sekolah sudah mengaji ngajinya semester full ptm semester sebelumnya online,12.0
anak kelasku banyak gamasuk woe sakit jadi takut ptm,-3.0
ptm pjj mls dah asli,-5.0
tetap ptm walau gak ngerjain tugas,-1.0
pjj santai ptm lebih cepet paham materi,5.0
aku mau seneng ada ptm jadi ulangan ada ptm karena berita duka ya,21.0
entah guru guru ptm ngeselin semua ngasik tugas aneh aneh,2.0
mending ptm,2.0
sekolah swasta gatau ada mreka ptm hati dah negri,5.0
suka pjj santai males malesan lama kelamaan bosen pengen ptm biar paham,-7.0
semangat buat lagi ptm jangan aneh aneh sekolah,12.0
wi semangat aku sebelumnya ptm tiap karena dikelas ada kena covid jadi pjj lagi,2.0
semoga ptm diberentikan deh kak di jakarta udah sekolah ditutup gegara ada kasus positif,3.0
iya saya gak ngijinin anak saya di vaksin mbak karena anak saya dari kecil sering di rawat di rs saya gak mau ambil resiko gak tau besok boleh ptm,-39.0
gajadi wkwk ada harapan ptm kalau sampai besok kasus,-3.0
ptm kebanyakan tugasnya kelompok,-2.0
udah aja awali semangat walaupun sekolah udah ptm tetap belajar,11.0
anjing dah siap siap taunya ada ptm,-1.0
aku heran sama sekolah ada kasus kopit sekolahnya tetap adain ptm,14.0
ptm seindah diharapkan,3.0
enak banget ptm mau ptm,11.0
gua kira sudah ptm jam tidurnya bakal berubah ternyata sama ajaa malah makin parah,6.0
pjj gatau semenjak ptm semangat gua jadi hilang jadi ngga niat,4.0
kebijakan ptm gak mau ditinjau lagi sekolah anak saya dah ada kejadian sd sma habis ptm keesokannya positif jadi merepotkan semua ikut ptm kena tracing sekeluarga pcr walaupun belum pasti kenanya sekolah jadi cluster,-2.0
wow temen sekolah uda ada positive mericon,7.0
jika ada positif kena tracing semua lebih baik ptm  lanjut daring kemaren anak saya sistemnya begini,-1.0
gue gamau pjj anjing udah enak banget ptm,-6.0
kalian ada engga sejak ptm rasanya capek bangett bentaran doang sekolahnya,7.0
ptm belajarnya belum normal balik jam,-2.0
enak ptm way pagi,6.0
semangat ptm,4.0
belum full ptm udah suruh pjj lagi tugas kelompok banyak bener,-3.0
ptm males banget,-3.0
hua aku malah pjj nder huhu gak nyobain ptm malah,2.0
kalau bangun buat pjj ngantuk banget ptm ngga terlalu,2.0
ihh bentar lagi ptm aku gak siap bertemu macam ras manusia meskipun aku berasal dari ras terkuat muka bumi read wibu,-9.0
enak anjing gue malah maunya pjj cape banget ptm,-7.0
pjj dong aih malah ptm mulu jaba tugas kelompok wae,-3.0
gak tau semenjak ptm aku jadi lebih males,4.0
aku pjj hiks pengen ptm,5.0
ptm tetap diberlakukan namanya nekat,5.0
awal pjj sudah agak mending masuk sistem absensi ganjil genap ketimbang ptm dilakukan,4.0
semenjak ptm gue atm nyetor mulu setiap,-2.0
balik pjj lagi sekolah aja ya sekolahku ptm,3.0
sedih giliran sudah nyaman ptm malah kasus makin banyak,7.0
aku males banget ptm dah mau tidur,4.0
gue lagi ptm yaallah nyesek aksa kemana,-15.0
anak kelas sebelah gue kena sembuh biar gue ptm lagi,-20.0
ptm ptm sering sakit gara kecapean,-6.0
halo selamat pagi aku kembali pjj lagi enakan ptm,12.0
sama katanya masuk ptm lagi,-3.0
nataru dilonggarin sekolah dibuka ptm temen gue story tempat swab sudah rame lagi abis liat,3.0
temanku males berusaha banget biar ga ptm sampai chat grup,3.0
