date,original_tweet_text,tweet
Thu Feb 03 08:03:37 +0000 2022,"@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",aku dari september mau ptm bener aja ada covid online lagi deh
Fri Feb 04 02:32:43 +0000 2022," @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",aku tinggal perbatasan bekasi barat jakarta timur cuma dibatasi jembatan tol emang beda banget jakarta ptm
Fri Feb 04 02:32:36 +0000 2022," @Dj_Bams74 Hahahahaha 🤣😂 Abis jatuhin anak orang kabur 😂  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda 😂 Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",haha abis jatuhin anak kabur makanya rajin tengok kebawah om sebelum menghina anak lain jangankan bicara fasilitas signal antar daerah aja berbeda jadi sudah benar ptm dilakukan agar pendidikan dapat dirasakan semua
Fri Feb 04 02:32:29 +0000 2022,TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,ptm lagi anjir sesian mulu
Fri Feb 04 02:31:45 +0000 2022,tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini sudah dipulangkan karena pjj lagi
Fri Feb 04 02:31:09 +0000 2022,"mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalau pjj tugasnya susah susah
Fri Feb 04 02:30:51 +0000 2022,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh ketika covid tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan
Thu Feb 03 08:01:57 +0000 2022,"Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e 😂😂",ptm tolong segera direvisi jujur gak siap jemput adek sekolah jauh
Fri Feb 04 02:30:31 +0000 2022,AAAAAAAAAA MAU PTM AJA,aaaaaa mau ptm aja
Fri Feb 04 02:30:26 +0000 2022,RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam sepekan per ada kematian terlalu dini bagi
Fri Feb 04 02:30:16 +0000 2022,"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, ak…",anakku tidak vaksin termaksud aku uber sana gurunya aku gak perduli ancam ikut ptm aku
Fri Feb 04 02:30:14 +0000 2022,"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",alasan saya benci daring karena guru suka seenaknya disuruh belajar bukan jamnya suruh kuis waktunya murid tidur istirahat kalau ptm semisalnya gak hadir ya paling kuis kalau dipaksain jam pulang lol
Fri Feb 04 02:30:13 +0000 2022,"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",ya enggak soalnya emang berhentikan ptm gampang belum dengerin keluhan keluhan selama lanjut lanjut cuma resikonya jadi banyak kena
Fri Feb 04 02:30:10 +0000 2022,"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",kayaknya gue gak update buat beberapa soalnya lagi beberes barang buat pindahan engga deng lebih tepatnya buat persiapan ptm jadi agak sibuk belum lagi nyari kosan kampus gue infonya telat banget jadi grasak grusuk hadeh
Fri Feb 04 02:30:07 +0000 2022,"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan sia…",ketika setuju anakmu vaksin alasan ptm vaksin tersebut berakibat buruk anakmu jangan salahkan
Fri Feb 04 02:30:05 +0000 2022,"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkel😔

Bisa ga sih pjj rasa ptm gitu😭",pengennya pjj gurunya ngasih materi tugasnya usah banyak banyak kalau ptm pengennya dikurangin kasih kerja kelompok pjj rasa ptm
Fri Feb 04 02:29:53 +0000 2022,mending PTM si bener kalau daring banyak bangt tugas nya,mending ptm bener kalau daring banyak banget tugas
Fri Feb 04 02:29:43 +0000 2022,kangen ptm https://t.co/Yo8Jdg3O4Z,kangen ptm
Fri Feb 04 02:29:20 +0000 2022,jangan ptm dulu huahua :( tunggu gue sembuh duluuu,jangan ptm huahua tunggu gue sembuh dulu
Fri Feb 04 02:29:14 +0000 2022,"yg masih ptm enak bgt deh, aku iri :(",ptm enak banget deh aku iri
Fri Feb 04 02:28:57 +0000 2022,"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",kangen banget kemarin ptm kangen gangguin prema ajus hue
Fri Feb 04 02:28:52 +0000 2022,"@sccumma Emg kita kyknya bakal gt ga sih 😭😭

Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",emg kayaknya bakal sekolah gue dari semangat banget ptm sekarang katanya lagi lockdown selama
Fri Feb 04 02:28:35 +0000 2022,"@4ivengers HAH KOK ENAK PTM, AING DARING",hah enak ptm aing daring
Fri Feb 04 02:28:33 +0000 2022,Tumben @fadlizon punya akal sehat untuk mengajak orang menggunakan akal sehat. https://t.co/yjlC8pF6ni,tumben punya akal sehat mengajak menggunakan akal sehat
Fri Feb 04 02:28:04 +0000 2022,harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,kalau berani mencetuskan ptm sudah siap dong penanggulangannya kayak tempat karantina aja kaga disediain kalau seumpa ada positif gimane dah masa mau tetap kosan meanwhile doang tinggal disitu
Fri Feb 04 02:26:11 +0000 2022,"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orang…",kalau emang pjj situasi kayak aku dukung deh walaupun lebih suka ptm karena tiap dikepung orangorang
Fri Feb 04 02:26:02 +0000 2022,ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,alahhh mood anjir ptm mau lagi
Thu Feb 03 07:52:23 +0000 2022,sepertinya semester ini ptm adalah ide buruk,sepertinya semester ptm ide buruk
Fri Feb 04 02:25:33 +0000 2022,MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,ptm pjj lagi gue kesel banget sial
Fri Feb 04 02:25:08 +0000 2022,"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh 🙄 https://t.co/UfU5c8a9IB",seneng ngerasain ptm eh sekarang malah lagi hadeh
Fri Feb 04 02:24:28 +0000 2022,Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astaga😩,ketika sudah seneng mindep mau pembelajaran ptm ehhh malah gak jadi rasanya kayak jsbadndmks why ada senang ketemu guru killer ada sedih ketemu teman wkwk serba salah astaga
Thu Feb 03 07:44:49 +0000 2022,mau balik ke ptm plis :(,mau balik ptm plis
Fri Feb 04 02:24:15 +0000 2022,"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",gue mau pjj asli lebih milih ptm jam kosong pjj
Fri Feb 04 02:23:44 +0000 2022,"@leendino Ooo sama nih dom ku jg zona merah tapi sekolah msh ada niat balik ptm 😭😭, stay safe yaaa",ooo sama dom zona merah sekolah ada niat balik ptm stay safe yaaa
Fri Feb 04 02:23:37 +0000 2022,mau ptm aja ribet banget persyaratannya,mau ptm aja ribet banget persyaratannya
Fri Feb 04 02:23:18 +0000 2022,@joshujiee Emg blm pernah ptm ato balik pjj lagi?,emg belum pernah ptm balik pjj lagi
Fri Feb 04 02:23:11 +0000 2022,"ngga usah ptm 50% lahh, pjj aja udh ampe lulus 🙂",usah ptm lahh pjj aja sudah sampai lulus
Fri Feb 04 02:22:56 +0000 2022,gua mau ngomong “besok ptm anjing bangun pagi woi?” juga ga mempan😭 https://t.co/Xbf8oiz2vh,gua mau ngomong besok ptm anjing bangun pagi woi mempan
Fri Feb 04 02:22:44 +0000 2022,@wolfbitieee enakan ptm lah,enakan ptm
Fri Feb 04 02:22:30 +0000 2022,Hari trakhir PTM harus banyak jajan banyak foto 😗,ptm banyak jajan banyak foto
Fri Feb 04 02:22:13 +0000 2022,Di hari terakhir PTM kmren dah nangis aku,ptm kemarin dah nangis aku
Fri Feb 04 02:21:43 +0000 2022,@schfess aku mau ptm 50% !!! pls kangen bgt,aku mau ptm pls kangen banget
Fri Feb 04 02:21:29 +0000 2022,"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",sudah ptm cuma daerah lagi zona merah
Fri Feb 04 02:21:28 +0000 2022,"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeee🥰🥰🥰🥰🤗😌🤪",biasa aku lebih suka ptm dapat uang saku bye
Fri Feb 04 02:21:16 +0000 2022,"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk 😓",kalau ptm mah pasti banyak jam kosong cepet ptm lagi dong
Fri Feb 04 02:21:01 +0000 2022,ini lah mengapa sy lebih suka PTM,saya lebih suka ptm
Fri Feb 04 02:20:56 +0000 2022,"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",gue mau pjj aja soalnya ptm punya temen mainnya circlean mau ikut gabung responnya kaya dikacangin
Fri Feb 04 02:20:50 +0000 2022,YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,yaaa gua sedikit nyaman ptm
Fri Feb 04 02:20:33 +0000 2022, @PemkotMalang @adisukardi @Dikbudmalangkot @yusufgunawan @ipoksamidub @pkm_cisadea C50Semoga smua sekolah bisa menyikapi dg bijak dan cepat mengambil keputusan terkait temuan disekolahnya utk kasus aktip biar ga nyebar.btw pie min keputusan SE PTM 50% di kota malang? Kok gak ada kabar?,semoga semua sekolah menyikapi bijak cepat mengambil keputusan terkait temuan disekolahnya kasus aktif biar gak nyebar by the way pie min keputusan ptm kota malang gak ada kabar
Fri Feb 04 02:19:59 +0000 2022,"Mamam tuh SKB 4 menteri. Dl pas yg vaksin br org dewasa, 18 tahun k atas. Anak” umur dibawahnya yg malah harus masuk. Giliran banyak yg kena br anak” umur 6 tahun k atas divaksin. Tp ttp anak usia PAUD wajib PTM. Ini begimana cb pikirannya. https://t.co/iKjRQ1omJF",mamam skb menteri dl vaksin br dewasa atas anak umur dibawahnya malah masuk giliran banyak kena anak umur divaksin tetap anak usia paud wajib ptm begimana coba pikirannya
Fri Feb 04 02:19:58 +0000 2022,Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,eug ogah ngizinin adek gue ptm kalau kondisinya begini
Fri Feb 04 02:19:48 +0000 2022,@cetenotpete ptm tp skrg libur,ptm sekarang libur
Fri Feb 04 02:19:26 +0000 2022,IH MENDING PJJ DAH DARI PADA PTM 50%,iih mending pjj dah dari ptm
Fri Feb 04 02:19:16 +0000 2022,"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak 
NAMANYA JUGA ANAK ANAK, WAJAR SAJA 
PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat 
https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",jangan menunggu meledak distop stop ptm agar tidak meledak namanya anak anak wajar saja ptm tidak distop begini fakta terjadi sekolah prokes dikontrol sekolah guru guru boosternya sudah sangat terlambat
Fri Feb 04 02:19:15 +0000 2022,@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,emg belum mulai ptm ato ada positif jadi pjj lagi
Fri Feb 04 02:18:51 +0000 2022,@cetenotpete ptm tp meliburkan diri xixi,ptm meliburkan diri xixi
Fri Feb 04 02:18:47 +0000 2022,"@ljnchoco Enak ptm ga sie, dapat uang jajan😭",enak ptm sie dapat uang jajan
Fri Feb 04 02:18:45 +0000 2022,Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,dah seneng kemarin ptm eh bangsat ruqyah
Fri Feb 04 02:18:19 +0000 2022,alo guys seharusnya gw hari ini ptm tp krn gw lg gaenak badan kurang fit jd gw ikt pjj di rmh,halo guys gue ptm karena gue lagi enak badan kurang fit jadi gue ikut pjj rumah
Thu Feb 03 14:03:47 +0000 2022,"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi 🤬",ahehsgehe sudah seneng sekolah bareng soalnya ptm gak ketemu ehh pjj lagi
Fri Feb 04 02:17:34 +0000 2022,YA ALLAH BESOK DARING LAGI😭😭😭😭 BELOM PUAS PTM UEUEE,ya allah besok daring lagi belom puas ptm hehe
Fri Feb 04 02:17:31 +0000 2022,"@subschfess pjj pengen pjj, ptm pengen ptm🥴😻",pjj pengen pjj ptm pengen ptm
Fri Feb 04 02:17:19 +0000 2022,@Askrlfess Yg bikin aku ga percaya indonesia bisa mulai ptm :),aku percaya indonesia mulai ptm
Fri Feb 04 02:17:11 +0000 2022,@wonIucu aku harusnya ppj cuma 2 minggu tp diperpanjang sampe 1 bulan 😿😿😿 aAAA MAU PTM 😿,aku ppj cuma diperpanjang sampai aaaa mau ptm
Fri Feb 04 02:17:03 +0000 2022,"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagi😭",walau aku males sekolah woi masa ptm lagi
Fri Feb 04 02:16:43 +0000 2022,ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,ptm jadi dipisah anak absen atas sama absen temen gue adanya absen atas gue absen
Fri Feb 04 02:16:37 +0000 2022,"@xxasj_i iyaa, tp sekolahku dari awal emg cuma 50% ptm dan itupun bebas pilih mau ptm/pjj tapi aku pilihnya pjj hehe jadi aku gapernah ptm👍🏻",iyaa sekolahku dari awal emg cuma ptm bebas pilih mau ptm pjj aku pilihnya pjj jadi aku gapernah ptm
Fri Feb 04 02:16:12 +0000 2022,@schfess Baju rumah lah lo semua alias SAYA IRIII MAU PTM JUGAA https://t.co/I2WgEysi7e,baju rumah semua alias saya iri mau ptm
Fri Feb 04 02:16:06 +0000 2022,"@GAHunterFess Pengen beliin anak masker aja sih, soalny dia udh mulai PTM setiap hari🙈",pengen beliin anak masker aja soalnya sudah mulai ptm setiap
Fri Feb 04 02:15:43 +0000 2022,"'hilih dia mah cuma pengen pemes sama anak laki laki'  ucap seseorang,  yg skrg malah sibuk sma ank cowo kumpul ketawa"" brg, rada iri karna dia ngambil ayang gw anjir...  Padahal kan sebelum ptm full dia soft bgt sm gw,  nah giliran udh ptm full malah diambil cewe itu anjir...",halah mah cuma pengen pemes sama anak laki laki ucap seseorang sekarang malah sibuk sama anak cowo kumpul ketawa bareng rada iri karena ngambil sayang gue anjir sebelum ptm full soft banget sama gue giliran sudah ptm full malah diambil cewe anjir
Fri Feb 04 02:15:41 +0000 2022,"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik)
pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol)
^^ persepsi gue",ptm dapet duit ilmu lebih gampang nyantol ketemu temen resiko angka covid naik pjj sambil rebahan sebegitu capek kaya ptm resiko ilmu kurang nyantol persepsi gue
Fri Feb 04 02:14:27 +0000 2022,"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",berarti gak bahaya kalau dki menutup ptm luhut takut rakyat minta penerbangan negeri ditutup jadi gak ada alasan melonggarkan pendatang dari negeri
Fri Feb 04 02:14:14 +0000 2022,"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya an…",keraguan tinggi gue senang dukung banget anak ptm termasuk masgub punya
Fri Feb 04 02:14:06 +0000 2022,"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",aku sedih liat covid sudah naik banget ptm gak diberhentiin cluster ptm sudah banyak banget
Fri Feb 04 02:13:44 +0000 2022,"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",temen sekelasku semua nder batuk batuk lagi ptm
Fri Feb 04 02:13:34 +0000 2022,"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",sekarang lagi pjj tpi kemarin ptm semoga ptm
Fri Feb 04 02:13:32 +0000 2022,gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh 😎😎,yaa sebenernya ptm pjj ada plus minus sendiri gue disini sebagai team netral
Fri Feb 04 02:13:28 +0000 2022,@wajaar Semangt ya yg belum ngerasain ptm,semangat belum ngerasain ptm
Fri Feb 04 02:13:15 +0000 2022,senin udh ptm :),sudah ptm
Fri Feb 04 02:13:12 +0000 2022,Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,aku pikir anies cukup punya pengetahuan mengusahakan ptm tetap aman usaha usaha lainnya menjaga warganya tetap aman
Fri Feb 04 02:13:10 +0000 2022,"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsb😭pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",teori pjj tolong praktek dibisain ptm terbatas deh anjir tekor duit gua beli alat praktek bahan sebagainya pengen ngerasain megang alat praktek sesuai standar berlaku industri bentar lagi lulus bantar perusahaan kayak tolol
Fri Feb 04 02:12:16 +0000 2022,@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,jakarta omicron cluster ptm meledak maka salah pastilah anies baswedan
Fri Feb 04 02:12:13 +0000 2022,@Pockyyycocolate sama kayak kelasku kalo ptm,sama kayak kelasku kalau ptm
Fri Feb 04 02:11:24 +0000 2022,"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab ❤",dok adek aku mulai dari kemarin sudah wajib ptm eh ternyata sudah nyampe rumah diumumin grup ada kelasnya adekku termasuk kontak erat sama sekarang adek aku lagi isoman kira kalau mau test pcr antigen yaa tepat makasih sudah jawab
Fri Feb 04 02:11:15 +0000 2022,"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",sebenernya aku lebih suka ptm karena lebih ngerti kasusnya lagi tinggi banget aku ngekos lagi jauh dari keluarga amit amit kalau kena takut
Fri Feb 04 02:10:57 +0000 2022,"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",oh semoga segera ptm lagi yaa semangat didit
Fri Feb 04 02:10:32 +0000 2022,"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",sebenarnya ptm karena jadi paham materi pengen pjj lagi karena capek
