,original_tweet,sentiment,Predicted
0,"PJJ lgi aja deh, atau gk ptm terbatas jg  ptm bikin gua kaget capek dihajar tugas pembagian jadwal",4,POSITIF
1,sedih mulai mingdep udah mulai ptm terbatas lagi :((',-2,NEGATIF
2,"Sekolah anak saya tidak ada PTM hari ini krn ada vaksin dosis ke 2 kelas 3,4, dan 5 infonya. Bukan karena lonjakan kasus. Kamis bsk kembali PTM seperti jadwal sebelumnya. Saya sebagai orang tua juga keberatan dengan info yg serba dadakan dr pihak sekolah.",-53,NEGATIF
3,"Ptm baru minggu ke 3 tapi udah capek bangetTugas kelompok terus menerus, habis itu belajar cepet'",0,NETRAL
4,Mulai Minggu depan sekolahku PTM  terbatas lagi aaaa,6,POSITIF
5,Semangat pagi utk PTM TERBATAS ,8,POSITIF
6,"horor banget, bangun pagi di kasih info minggu depan mulai ptm terbatas",-2,NEGATIF
7,"Semua tergantung orang tuanya, cabut anak suruh daring, jika sekolah marah krn anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan juga, ndak usah repot, anak saya wlu sekolah wajib PTM, sdh 2 th ini ttp Daring, itu hak saya sbg orng tua.",-34,NEGATIF
8,sekolah rin balik ke 50% ptm gegara ada yg c word. trs hari ini rin milih buat ga masuk sekolah krn takut,-6,NEGATIF
9,"Anak saya yg SD belum saya bolehkan untuk masuk sekolah (PTM). Sedihnya, sekolah ""katanya"" sudah meniadakan daring, karena sudah PTM 100%...Diperbolehkan sih nggak ikut PTM, hanya dikasih tugas harian saja..",-3,NEGATIF
10,"Saya usul tetap PTM. Argumentasi saya : - Yg boleh PTM adalah anak yg sudah divaksin. - Yg PTM orangtuanya harus sudah vaksin lengkap. - Protokol kesehatan di sekolah bisa diawasi - 1,5 tahun sekolah online memperlihatkan ketimpangan pendidikan yg parah. Cukup, jangan lagi",-22,NEGATIF
11,"beberapa waktu lalu saya minta kakak saya agar keponakan saya gak usah PTM... minta tugas atau apapun itu sama gurunya.... barusan kasih kabar, lebih dari 40 orang tua melakukan hal yang sama... selamatkan anak anak kita..",-36,NEGATIF
12, Aku kemaren kemaren sebelum ptm begadang terus sampe dini hari tp semenjak ptm badan jadi capek bgt,-11,NEGATIF
13,"Sekolah anak sy juga ngga berani hentikan ptm, sampai kmrn ada anak yg positif covid sekeluarga, baru ptm dihentikan, tp cuma sementara. Pejabatnya tenang2 aja, mungkin mikirnya: ah yang kena anak2 ini, bukan saya..",-4,NEGATIF
14,"@subschfess Klo pjj mkn ku teratur soalny plang kmpung ada ibu yg masak,klo ptm jdi anak kos2an mles masak mau beli rugii wkwk",7,POSITIF
15,"Di sekolah anak saya,... walau anak tdk bersedia di vaksin, masih diperbolehkan PTM koq...tdk ada perbedaan...",-13,NEGATIF
16,"di sekolah gua udah 5 yang kena covid tp sekolah ttp kekeuh buat ptmt, kalo udah 5% baru libur 2 minggu. nunggu tumbal apa gimana? sekolah mau bayar biaya perawatannya kah kalo misalkan kena? mau ngegantiin nyawa kalo sampe ada yang",23,POSITIF
17,"anjrit kmrn kakel gua skrng temen seangkatan gua ada yg kena cororong, untung aja kmrn emak gua ga ijinin masuk ptm",-6,NEGATIF
18,"Top bu. Saya jg begitu saat diminta isi form vaksin. Klo vaksin mjd syarat ptm, anak saya online aja. Dibilang ga ada pembelajarn online. Saya jawab yaa udah anak kami kluar. Ehh....dihub agar masuk sekolah setelah 2 hari ga sekolah",-10,NEGATIF
19,"Kasian anak pandemi. Gak punya temen. Mainnya sama sepupu doang. Begitu ngaji PTM, seneng banget dia. Selalu ceria",11,POSITIF
20,"Alhamdulillah skrng udah normal semenjak ptm lagii,pas sebelum ptm pasti tidur diatas jam 12 gituan",8,POSITIF
21,Lintang blm sekolah tp sudah mengaji. Ngajinya semester ini full PTM semester sebelumnya online,11,POSITIF
22,SchApp! anak kelasku pada banyak yang gamasuk woyy pada sakit jadi takut ptm,-1,NEGATIF
23,"PTM, pjj bikin mls dh asli",-5,NEGATIF
24,tetap ptm walau gk ngerjain tugas',-5,NEGATIF
25,"@schfess pjj santai, ptm lebih cepet paham materi'",5,POSITIF
26,"aku mau seneng ga ada ptm ga jadi ulangan, tapi ga ada ptm karna berita duka gmn ya",28,POSITIF
27,@bluendsun entah kenape guru guru pas ptm ngeselin semua\nngasik tugas aneh aneh',7,POSITIF
28, mending ptm ga she,2,POSITIF
29,skolah swasta gtw ada yg mreka msi ptm ato g hti2 dah ato g negri',0,NETRAL
30," dulu suka pjj, bisa santai bisa males malesan dulu, tapi lama kelamaan bosen dan pengen ptm biar paham",-11,NEGATIF
31," semangat juga buat kamu yg lagi ptm, jangan aneh-aneh di sekolah",1,POSITIF
32,"@junkyu_yeochin wii semangatt!! aq sebelumnya juga ptm tiap hari, krna dikelas q ada yg kena covid jadi pjj lagi'",3,POSITIF
33,Semoga PTM diberentikan deh kak. Di jakarta udah 90 sekolah ditutup gegara ada kasus positif,8,POSITIF
34,"Iya sih,sy gak ngijinin anak saya di vaksin mbak, krn anak saya dr kecil sering di rawat di RS,sy gak mau ambil resiko, gak tau ini besok boleh PTM atau gak",-58,NEGATIF
35,GAJADI WKWK ADA HARAPAN PTM KALO SAMPE BESOK KASUS + NYA 0,-10,NEGATIF
36,ini ptm kenapa kebanyakan tugasnya kelompok sih,-5,NEGATIF
37,"Udah hari kamis aja nih. Awali hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",16,POSITIF
38,anj lahh dah siap-siap taunya ga ada ptm,-10,NEGATIF
39,ak heran sm skolah yg ad kasus kopit di skolahny tp ttp adain ptm,-3,NEGATIF
40,@imurjoyiie Ptm tidak seindah yg diharapkan,-5,NEGATIF
41,"Enak banget yang ptm, mau ptm :('",11,POSITIF
42,"gua kira udh ptm jam tdrnya bakal berubah, ternyata sama ajaa. malah makin parah'",7,POSITIF
43,"@schfess pjj, gatau kenapa semenjak ptm tuh semangat gua jadi hilang trus jadi ngga niat'",3,POSITIF
44,"ni kebijakan PTM gak mau ditinjau lagi nih. Sekolah anak saya dah ada kejadian SD dan SMA habis PTM keesokannya positif jd merepotkan semua yg ikut PTM kena tracing hrs sekeluarga PCR dll. Walaupun belum pasti kenanya di sekolah, bisa jd cluster baru",-17,NEGATIF
45,Wow temen sekolah LL uda ada yg positive mericon,5,POSITIF
46,Jika ada yg positif bisa kena tracing semua.. lbh baik seminggu PTM trus lanjut 2 minggu daring..thn kemaren anak saya sistemnya begini,-8,NEGATIF
47,gue gamau pjj ajg udah enak bgt ptm',-1,NEGATIF
48,"@schfess: Sch! Kalian ada ngga sih yang sejak ptm rasanya capeek bgttt, padahal bentaran doang",-7,NEGATIF
49,@convomfs Ptm 100% tapi waktu belajarnya belum normal masih blik jam 12:30',0,NETRAL
50," enakk ptm, btw pagi'",6,POSITIF
51,@myngklx semangat ptm nyaa',8,POSITIF
52,belum full 1 bulan ptm udah di suruh pjj lagi mana tugas kelompok banyak benerr,2,POSITIF
53,"Hari ini ptm, males bngt'",-7,NEGATIF
54,@schfess huaaa aku malah pjj trs nder huhu :( gak nyobain ptm malah :((',-11,NEGATIF
55,kenapa kalo bangun buat pjj ngantuk bngt tapi pas ptm ngga terlalu,-1,NEGATIF
56,'Ih bentar lagi PTM aku gk siap bertemu macam2 ras manusia meskipun aku berasal dari ras trkuat di muka bumi (read:wibu)',6,POSITIF
57,enak jink gue malah maunya pjj cape bget ptm',-7,NEGATIF
58,"'PJJ DONG AIH MALAH PTM MULU, JABA TUGAS KELOMPOK WAE'",7,POSITIF
59,Gak tau kenapa semenjak ptm aku jadi lebih males',-9,NEGATIF
60,@Asahiyaap aku pjj jugaa hiks pengen ptm',5,POSITIF
61,@arifinpribadi @jokowi @KemenkesRI @luhutbinsarp @erickthohir @KemenBUMN @BNPTRI PTM 100% tetap diberlakukan... itu namanya nekat !',5,POSITIF
62,Padahal pas awal2 PJJ udah agak mending dgn seminggu 3x masuk dgn sistem absensi ganjil genap ketimbang PTM dilakukan 100%,-5,NEGATIF
63,semenjak ptm gue ke atm nyetor mulu setiap minggu,-3,NEGATIF
64,"@schfess yg balik pjj lg tu sekolah mana aja ya, ko skolahku masi ptm 100%",-4,NEGATIF
65,@osw_cityx sedihhh giliran udh nyaman ptm malah kasus makin banyak,9,POSITIF
66,aku males bgt ptm dahh mau tidur,4,POSITIF
67,@shayangaksa gue lagi ptm yaallah nyesek.. aksa kemana',-14,NEGATIF
68,@convomfs anak kelas sebelah gue yg kena c-19 bisa sembuh biar Senin gue ptm lagi',-23,NEGATIF
69,"@schfess ptm, tp pas ptm w sering sakit gara2 kecapean dsb'",-14,NEGATIF
70,"ALO SELAMAT PAGI, AKU KEMBALI PJJ LAGI PADAHAL ENAKAN PTM.",11,POSITIF
71,"@convomfs sama, tapi katanya senin masuk ptm lagi'",-3,NEGATIF
72,"Nataru dilonggarin, sekolah dibuka ptm. Terus temen gw bikin story tempat swab udah rame lagi abis itu liat ini.",2,POSITIF
73,"temanku pda males2, berusaha bgt biar ga ptm smpe chat di grup",2,POSITIF
74,"hari ini aku ptm tapi harus tetep kesekolah krn ada kegiatan lain, high semanga",3,POSITIF
75,baca cerita orang tua yg curhat tentang kegiatan ptm di sekolah anaknya makin hari makin pusing. bener2 dah nyawa anak2 dikira apaan sih?',-3,NEGATIF
76,"@schfess Ptm, walaupun bikin sakit badan tapi materi nemplok di kepala'",-16,NEGATIF
77,"@sudahgudluking ngasih info ptm pagi pagi anjg, gua udah rapih'",-1,NEGATIF
78,"bayangin se kesel apa ak, kmrn bilang hri ini libur tpi ngsih tugas aja karna guru pada pergi skrng tbtb disuruh ",-3,NEGATIF
79,ptm menyenangkan sampai kamu ulangan pake kertas',8,POSITIF
80,"@moonareas Ptm tpi gue males, jdi akhirnya daring'",-7,NEGATIF
81,'ini katanya mau pjj lagi dah padahal seruan ptm,-1,NEGATIF
82,ptm itu seru tapi yg gak seru bangun pagi',3,POSITIF
83,"ptm anjir, ni sangking emosi sampe typo",-4,NEGATIF
84,"@schfess Pjj, karena setelah ptm ini ak sadar klau sekolah ku bener bener loss prokres nya",-3,NEGATIF
85,@Askrlfess Ngeri banget. Jadi takut karena semester nanti mulai ptm,-6,NEGATIF
86,"ngantuk banget, untung ga ptm'",2,POSITIF
87,"@xafeenka capek ptm gak sih, IH IYAAAA",-8,NEGATIF
88," Kami minggu lalu udh Tapi gegara kabupaten kami level 2 Omicron, jadinya kami dibuat PTM 50%'",5,POSITIF
89,"@schfess PJJ aja lah, PTM tuh ribet, ngga santuy, tugas bikin makalah harus hard file'",-8,NEGATIF
90,hari ini ptm hihi semangatttt,-1,NEGATIF
