id,original_tweet,sentiment,Predicted,Expected,,,,
0,"PJJ lgi aja deh, atau gk ptm terbatas jg gpp ptm bikin gua kaget capek dihajar tugas pembagian jadwal",4,POSITIF,,,,negatif,417
1,sedih mulai mingdep udah mulai ptm terbatas lagi :((',-2,NEGATIF,,,,netral,40
2,"Sekolah anak saya tidak ada PTM hari ini krn ada vaksin dosis ke 2 kelas 3,4, dan 5 infonya. Bukan karena lonjakan kasus. Kamis bsk kembali PTM seperti jadwal sebelumnya. Saya sebagai orang tua juga keberatan dengan info yg serba dadakan dr pihak sekolah.",-56,NEGATIF,,,,positif,543
3,"Ptm baru minggu ke 3 tapi udah capek banget Tugas kelompok terus menerus, habis itu belajar cepet'",10,POSITIF,,,,,
4,Mulai Minggu depan sekolahku PTM  terbatas lagi aaaa,2,POSITIF,,,,,
5,Semangat pagi utk PTM TERBATAS ,8,POSITIF,,,,,
6,"horor banget, bangun pagi di kasih info minggu depan mulai ptm terbatas",-2,NEGATIF,,,,,
7,"Semua tergantung orang tuanya, cabut anak suruh daring, jika sekolah marah krn anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan juga, ndak usah repot, anak saya wlu sekolah wajib PTM, sdh 2 th ini ttp Daring, itu hak saya sbg orng tua.",-33,NEGATIF,,,,,
8,sekolah rin balik ke 50% ptm gegara ada yg c word. trs hari ini rin milih buat ga masuk sekolah krn takut,-3,NEGATIF,,,,,
9,"Anak saya yg SD belum saya bolehkan untuk masuk sekolah (PTM). Sedihnya, sekolah ""katanya"" sudah meniadakan daring, karena sudah PTM 100%...Diperbolehkan sih nggak ikut PTM, hanya dikasih tugas harian saja..",-9,NEGATIF,,,,,
10,"Saya usul tetap PTM. Argumentasi saya : - Yg boleh PTM adalah anak yg sudah divaksin. - Yg PTM orangtuanya harus sudah vaksin lengkap. - Protokol kesehatan di sekolah bisa diawasi - 1,5 tahun sekolah online memperlihatkan ketimpangan pendidikan yg parah. Cukup, jangan lagi",-6,NEGATIF,,,,,
11,"beberapa waktu lalu saya minta kakak saya agar keponakan saya gak usah PTM... minta tugas atau apapun itu sama gurunya.... barusan kasih kabar, lebih dari 40 orang tua melakukan hal yang sama... selamatkan anak anak kita..",-14,NEGATIF,,,,,
12, Aku kemaren kemaren sebelum ptm begadang terus sampe dini hari tp semenjak ptm badan jadi capek bgt,4,POSITIF,,,,,
13,"Sekolah anak sy juga ngga berani hentikan ptm, sampai kmrn ada anak yg positif covid sekeluarga, baru ptm dihentikan, tp cuma sementara. Pejabatnya tenang2 aja, mungkin mikirnya: ah yang kena anak2 ini, bukan saya..",-7,NEGATIF,,,,,
14,"@subschfess Klo pjj mkn ku teratur soalny plang kmpung ada ibu yg masak,klo ptm jdi anak kos2an mles masak mau beli rugii wkwk",10,POSITIF,,,,,
15,"Di sekolah anak saya,... walau anak tdk bersedia di vaksin, masih diperbolehkan PTM koq...tdk ada perbedaan...",-20,NEGATIF,,,,,
16,"di sekolah gua udah 5 yang kena covid tp sekolah ttp kekeuh buat ptmt, kalo udah 5% baru libur 2 minggu. nunggu tumbal apa gimana? sekolah mau bayar biaya perawatannya kah kalo misalkan kena? mau ngegantiin nyawa kalo sampe ada yang",21,POSITIF,,,,,
17,"anjrit kmrn kakel gua skrng temen seangkatan gua ada yg kena cororong, untung aja kmrn emak gua ga ijinin masuk ptm",-9,NEGATIF,,,,,
18,"Top bu. Saya jg begitu saat diminta isi form vaksin. Klo vaksin mjd syarat ptm, anak saya online aja. Dibilang ga ada pembelajarn online. Saya jawab yaa udah anak kami kluar. Ehh....dihub agar masuk sekolah setelah 2 hari ga sekolah",-12,NEGATIF,,,,,
19,"Kasian anak pandemi. Gak punya temen. Mainnya sama sepupu doang. Begitu ngaji PTM, seneng banget dia. Selalu ceria",1,POSITIF,,,,,
