id,original_tweet,sentiment_result,class
0,"@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",8,POSITIF
1," @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",-1,NEGATIF
2," @Dj_Bams74 Hahahahaha 🤣😂 Abis jatuhin anak orang kabur 😂  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda 😂 Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",-13,NEGATIF
3,TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,-3,NEGATIF
4,tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),-2,NEGATIF
5,"mendingan ptm ya, kalo pjj tu tugasnya susah susah",-10,NEGATIF
6,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",6,POSITIF
7,"Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e 😂😂",11,POSITIF
8,AAAAAAAAAA MAU PTM AJA,6,POSITIF
9,RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,-11,NEGATIF
10,"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, ak…",-6,NEGATIF
11,"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",6,POSITIF
12,"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",3,POSITIF
13,"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",-6,NEGATIF
14,"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan sia…",-1,NEGATIF
15,"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkel😔

Bisa ga sih pjj rasa ptm gitu😭",4,POSITIF
16,mending PTM si bener kalau daring banyak bangt tugas nya,7,POSITIF
17,kangen ptm https://t.co/Yo8Jdg3O4Z,3,POSITIF
18,jangan ptm dulu huahua :( tunggu gue sembuh duluuu,-1,NEGATIF
19,"yg masih ptm enak bgt deh, aku iri :(",4,POSITIF
20,"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",4,POSITIF
21,"@sccumma Emg kita kyknya bakal gt ga sih 😭😭

Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",-7,NEGATIF
22,"@4ivengers HAH KOK ENAK PTM, AING DARING",5,POSITIF
23,Tumben @fadlizon punya akal sehat untuk mengajak orang menggunakan akal sehat. https://t.co/yjlC8pF6ni,9,POSITIF
24,harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,14,POSITIF
25,"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orang…",5,POSITIF
26,ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,5,POSITIF
27,sepertinya semester ini ptm adalah ide buruk,-2.5,NEGATIF
28,MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,-15,NEGATIF
29,"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh 🙄 https://t.co/UfU5c8a9IB",-1,NEGATIF
30,Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astaga😩,33,POSITIF
31,mau balik ke ptm plis :(,1,POSITIF
32,"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",-1,NEGATIF
33,"@leendino Ooo sama nih dom ku jg zona merah tapi sekolah msh ada niat balik ptm 😭😭, stay safe yaaa",11,POSITIF
34,mau ptm aja ribet banget persyaratannya,3,POSITIF
35,@joshujiee Emg blm pernah ptm ato balik pjj lagi?,-7,NEGATIF
36,"ngga usah ptm 50% lahh, pjj aja udh ampe lulus 🙂",10,POSITIF
37,gua mau ngomong “besok ptm anjing bangun pagi woi?” juga ga mempan😭 https://t.co/Xbf8oiz2vh,-3,NEGATIF
38,@wolfbitieee enakan ptm lah,5,POSITIF
39,Hari trakhir PTM harus banyak jajan banyak foto 😗,10,POSITIF
40,Di hari terakhir PTM kmren dah nangis aku,-6,NEGATIF
41,@schfess aku mau ptm 50% !!! pls kangen bgt,8,POSITIF
42,"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",3,POSITIF
43,"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeee🥰🥰🥰🥰🤗😌🤪",7,POSITIF
44,"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk 😓",-5.25,NEGATIF
45,ini lah mengapa sy lebih suka PTM,1,POSITIF
46,"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",4,POSITIF
47,YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,0.5,POSITIF
48, @PemkotMalang @adisukardi @Dikbudmalangkot @yusufgunawan @ipoksamidub @pkm_cisadea C50Semoga smua sekolah bisa menyikapi dg bijak dan cepat mengambil keputusan terkait temuan disekolahnya utk kasus aktip biar ga nyebar.btw pie min keputusan SE PTM 50% di kota malang? Kok gak ada kabar?,nan,POSITIF
49,"Mamam tuh SKB 4 menteri. Dl pas yg vaksin br org dewasa, 18 tahun k atas. Anak” umur dibawahnya yg malah harus masuk. Giliran banyak yg kena br anak” umur 6 tahun k atas divaksin. Tp ttp anak usia PAUD wajib PTM. Ini begimana cb pikirannya. https://t.co/iKjRQ1omJF",-7,NEGATIF
50,Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,-7,NEGATIF
51,@cetenotpete ptm tp skrg libur,3,POSITIF
52,IH MENDING PJJ DAH DARI PADA PTM 50%,-10,NEGATIF
53,"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak 
NAMANYA JUGA ANAK ANAK, WAJAR SAJA 
PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat 
https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",-18,NEGATIF
54,@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,6,POSITIF
55,@cetenotpete ptm tp meliburkan diri xixi,-1,NEGATIF
56,"@ljnchoco Enak ptm ga sie, dapat uang jajan😭",7,POSITIF
57,Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,-3,NEGATIF
58,alo guys seharusnya gw hari ini ptm tp krn gw lg gaenak badan kurang fit jd gw ikt pjj di rmh,-5.25,NEGATIF
59,"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi 🤬",13,POSITIF
60,YA ALLAH BESOK DARING LAGI😭😭😭😭 BELOM PUAS PTM UEUEE,10,POSITIF
61,"@subschfess pjj pengen pjj, ptm pengen ptm🥴😻",6,POSITIF
62,@Askrlfess Yg bikin aku ga percaya indonesia bisa mulai ptm :),5,POSITIF
63,@wonIucu aku harusnya ppj cuma 2 minggu tp diperpanjang sampe 1 bulan 😿😿😿 aAAA MAU PTM 😿,6,POSITIF
64,"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagi😭",-6,NEGATIF
