id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:23:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @inahstudy: @schfess lebih suka ptm.. :( kirain bener yg katanya virus itu harus dinormalisasikan... :((( gamau pjj soalnya banyak kecur…,suka ptm kirain bener katanya virus harus dinormalisasikan gamau pjj kecur,in,0,44,harutoyshi,,,"inahstudy, schfess",Cyber ,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yang dikhawatirkan dari PTM 100% ini jika terus dilanjutkan, anak2 sekolah jadi carrier untuk keluarga di rumah.

Tolonglah...",dikhawatirkan ptm dilanjutkan anak sekolah carrier untuk keluarga rumah tolonglah,in,0,0,_P0T4T0_,,,,Mikrokosmos,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dulu kalo belajar kimia kalo ptm suka dimarahin katanya kalo pembelajaran yang diliat itu papan tulisnya, jangan muka nya",kalau belajar kimia kalau ptm suka dimarahin katanya kalau pembelajaran diliat papan tulisnya jangan muka,in,0,0,halaaah_boong,,,,"kp. pasir ceuli, lebak tarang",
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@convomf wkwk ptm tapi kena omicron mau?,wkwk ptm kena omicron,in,0,0,nayutiway,,,convomf,homophobic go away!,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:19 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @IdrisAShomad: Adanya tren kenaikan kasus covid-19 di Kota Depok, Pemkot Depok sudah menyampaikan surat resmi kepada pemerintah pusat un…",trend kenaikan kasus covid kota depok pemerintah kota depok surat resmi pemerintah pusat un,in,0,4,Arpus_Depok,FALSE,,IdrisAShomad,"Depok, Jawa Barat",
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:17 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@subschfess jujur sebenernya lebih suka PTM, karena aku tipe yang kalau PJJ bakal ngantuk atau engga paham materi.. Tapi dengan kondisi mau ga mau harus pjj :)))",jujur sebenernya suka ptm aku tipe kalau pjj ngantuk paham materi harus pjj,in,0,0,stdyfnhz,,,subschfess,,
,,,,,,,,,,,,,
1.48915E+18,Thu Feb 03 08:22:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Surat Edaran penundaan PTM terbatas semester genap TA 2021/2022 https://t.co/XFBFdPYBJ2,surat edaran penundaan ptm terbatas semester genap ta,in,1,0,infoUINmaliki,FALSE,,,"Malang, Indonesia",
,,,,,,,,,,,,,
