original_tweet,sentiment_result
cara kerja vaksin sinovac ,2
jul tidak banyak perbezaan ditemui antara vaksin sinovac dan pfizer dalam penggunaan secara praktikal dg hisham ,1
pemerintah bersama tni polri terus berupaya untuk membantu masyarakat di tengah pandemi covid berbagai upaya terus dilakukan untuk menekan penyebaran covid di indonesia salah satu contoh kecil sepei diberikannya vaksinasi gratis untuk seluruh masyarakat indonesia guna m ,0
anjay udah vaksin,-3
id pemberitahuan talent kami airani iofifteen diketahui terpapar oleh virus covid kondisi iofi stabil bergejala ringan ,2
kalangan epidemiolog dan pemantau pandemi menengarai pemerintah mengurangi jumlah pengetesan agar angka kasus harian covid ,-5
penceramah agama sebut covid konspirasi dan hoaks mufti ismail menk how can you ,1
tidak semua penyedia alat kesehatan tega ambil untung pada saat covid melonjak bahkan di pasar pramuka matraman jaka ,-7
kapolri jenderal polisi drs listyo sigit prabowo terjun langsung memberikan bantuan sosial ppkm darurat dari pemerintah untuk masyarakat yang terdampak covid di wilayah jawa tengah penerapan ppkm level,9
jokowi klaim kasus covid turun dr eva karena jumlah tes berkurang drastis persen ,4
tolong repo group telegram ni sebarkan gambar arwah mak sedara saya tanpa kebenaran waris berita palsu mak seda ,6
yb izzah menghadiri mesyuarat prosiding jawatankuasa kira kira wang negara pac berhubung perolehan vaksin covid ,3
at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak ,2
hulu langat kenapa program vaksin diketuai menteri mosti tapi lepas tengok prestasi menteri kesihatan saya insaf dan so ,-1
tetep semangat buat pejuang covid sehat selalu yaaa ,8
anjir demi vaksin gue sampe ke banyumanik ,1
ceritanya mau vaksin adek umurnya berapa tahun aku tahun seketika bapaknya ngehuleng tarik ngelihat umur sama muka aku gak sinkron ,8
diamuk covid varian delta warga as wajib pakai masker lagi aturan wajib masker kembali diterapkan warga amerika serikat yang sudah menerima dua dosis vaksin covid kini perlu memakai maske di tempat umum ,12.25
moderna jadi rebutan pejabat pejabat yg sama nyuruh kita percaya vaksin nusantara ,-7
setelah ribu yang gugur juta dijangkiti akhirnya vaksin di niagakan dan boleh didapati di klinik berhampiran aku keliru samada nak menanagis bersyukur atau ledak baran tendang singki aku keliru ,3
org pandemi sekali lagi menunjukkan bahwa ketimpangan itu nyata rakyat miskin nyaris tak mungkin isoman ketat karena ting ,-14.625
jml yg meninggal krn covid ribu jw rakyat boleh gugat caranya sebelum vaksin ke rs resmi utk rekam medis ,0
ibu anak nekat mencopet di antrean vaksin saya tidak punya uang anak saya minta makan ,-8
gerombolan covid naik diam menyalahkan pemerintah pusat giliran covid turun muncul bak pahlawan kesiangan ,5
dinkes wargi bandung silakan cek jadwal vaksin harian di fasilitas kesehatan di kota bandung pada gambar beriku ,1
irjen toni hermanto bakal tindak tegas penyebar hoaks vaksin covid satu nusabangsa indonesia ,0
astaghfirullah corona tak pites lo ya km,1
tuntutan kpk pd terdakwa korupsi bansos covid yg hanya tahun sgt mengecewakan ada jarak yg cukup jauh dari ancam ,-8
salut bgt vaksin di gor pakansari jam udah orang ,0
hudhi sekali lagi ga henti mengingatkan perbaiki birokrasi dapet vaksin di luar jakaa nik kedobel lah st ,-3.0
sudah tahun sampai sekarang ada umroh juga dari luar saudi tapi indonesia india srilanka bangladesh malaysia gak boleh masuk selain negara itu boleh masuk umroh asal ada bukti sudah di vaksin,3
pemakaian masker ganda terus dianjurkan untuk mencegah penularan virus corona yang angkanya terus melonjak komitmen atasi pandemi ,-13
yang punya pengalaman dengan covid yuk berbagi pengalaman untuk memberi motivasi kepada saudara kita yang masih berjuang dan pengetahuan untuk yang belum terserang komitmen atasi pandemi ,12
ga jadi is vaksin nya pada abis ,1
aduh keren bangeeet bapak ini gak punya hp tapi mau vaksin sedangkan yg punya hp follow akun teluuur ,1
prodem aneh jokowi marah karena ada penumpukan vaksin tapi juta dosis malah terbuang sia sia ,-10
siape belum dapat appointment vaksin lagi leh dm saya kl or selangor area only tempat cucuk dekat klcc ,-2
adityason kesaksian dari orang yg sudah divaksin petugas vaksinnya larang minum air kelapa abis vaksin untung dia tetap minum ,-9
pemicu covid ,0
masih rame aja sih gini lho mas mba ini perkara takdir jangan karena merasa tidak takut corona you orang bilang mati itu ,2
brai vaksin aszen bekerja dengan cara fitnah ya ,-1
campaign imeanza sasa mnataka kudanganywa vile nyinyi kama wakikuyu nyinyi kama waluhya nyinyi kama wakalenjin nyinyi ,0
vaksin apa enggak ,0
alfansi jangan sampe donor kecewa dengan tata kelola vaksin di level domestik mas jadi co chair covax gavi teriak soal vaccines inequity tapi di dalam negeri malah sebaliknya ,4
polsek seltim berbagai dimasa pandemi corona,-5
bete ga jadi vaksin ke abisan kuota udah penuh padahal ku pagi dateng nya tetep ga kebagian ,-4
lagi dan lagi dapet kabar teman kerja di tempat lama meninggal akibat gagal nafas setelah sesak nafas beliau didiagnosis positif covid beliau koki yang asik baik hati dan suka becanda selalu jadi imam anak di mushola tempat kerja orang baik ditempatkan terbaik amin,17
belum terkendali covid ri tambah kasus hari ini silahkan datang biar ditunjukin ke komuknya ,4
pembatalan vaksin berbayar membuat kita belajar bacot di media sosial ada gunanya terutama jika kita hidup di negara yang p ,9.0
pemerintah bersama dengan tni polri saling bahu membahu dalam membantu masyarakat yang sedang berjuang dengan covid komitmen atasi pandemi ,-1
lindungi diri dari penularan covid ,0
parfum terenak adalah pelukanmu dan vaksin terbaik adalah bibirmu,5
gagal vaksin mergo e tiket belum keluar sabar sabar ,6
pemerintah sediakan bagi yang mau jangan dipaksakan pak banyak kasus efek samping amp produsen vaksin menyatakan tidak akan tanggung jawab ,1
indonesia hasilkan teknologi olah dan daur ulang limbah medis covid antara news bengkulu ,0
info covid menambah varian baru halah bsns mulu terus aja nambah tuh varian said org yg ga pernah maskeran dia g sa ,0
setiap tahun ada wabak yang ragut ribuan jutaan nyawa the great plague kole ,3
mules besok w vaksin di sekolah tp gjls ada bus ke rumah eyang w apa kgk,-1
pastikan anda sihat bebas daripada sebarang simptom dan tidak mempunyai kemungkinan dijangkiti covid sebelum hadir ke ppv ,-1
politisi pdip itu berpendapat penanganan covid adlh momentum untuk menjalin dan mewujudkannya tidak hanya antara pemeri ,4
kepala badan pemelihara keamanan kepolisian negara republik indonesia komjen pol drs arief sulistyanto meninjau shelter atau tempat isolasi terpusat bagi pasien covid komitmen atasi pandemi ,-11
covid menurut laporan rasmi lebih satu juta rakyat malaysia sudah dijangkiti covid ini bermakna juta belu ,3
seharian ga aktif ig kirain ada apa eh ternyata nunggu giliran vaksin jam sksk,6
pulse oximeter adalah alat yang digunakan untuk memantau kadar denyutan jantung dan paras oksigen dalam darah paras oksigen normal adalah di antara dan kadar denyutan jantung normal adalah di antara seminit ,16
vaksin gratis az di citos sampai juni nih gengs boleh ktp non dki minimal tahun buka jam first come fi ,4
juta vaksin terbuang harus diaudit jam setelah rmol terbitkan tersebut cnn revisi judul ,3.5
percuma sia sj biarpun ri yg minta ke salman g bakal didengar beresin dulu covid di ri agar dunia percaya mana ada negara yg mau teular covid pusat papua tni au,-2
untuk kesekian kalinya ivermectin tidak mengelakkan dan atau rawatan jangkitan covid setakat ini jangan ganggu kami y ,0
iya tadi liat di tl bapaknya udah tua banget tapi semangat vaksin ikutan terharu makanya,7
daftar kegiatan di yang harus tunjukin seifikat vaksin akad nikah semua keluarga amp tamu salon barbershop ,17.5
orang orang sepei inilah yg harus dipikirkan negeri ini dia mungkin ngga punya gadget untuk mengakses vaksin online t ,0.0
malaysia pergerakan hari taburan kes covid mengikut daerah di malaysia setakat julai ,0
pln id electrizen di tengah pandemi covid saat ini pasokan oksigen sangat dibutuhkan rumah sakit karenanya terus menjaga k ,-26.0
indonesia diprediksi akan menjadi negara terakhir di dunia yang keluar dari krisis pandemi covid jika tidak ada kebijaka ,-8
siapa vaksin kita gang dah ada baju ke belom ni cantik ,-2
hi saya daniel saya seorang oku penghidap cerebral palsy kehilangan ibu bapa sejak baby lg saya habis sekolah menen ,8
kemenkes setelah isolasi mandiri tidak perlu tes pcr lagi atau menunggu hasil pcr negatif karena sudah tidak menularkan vi ,-3
sinkonk hah aku udh vaksin kok,0
mematuhi protokol kesehatan adalah hal yang sangat wajib dilakukan untuk melawan covid yang akan kita taklukkan komitmen atasi pandemi ,-3.5
sebarkan kali aja masih ada yg belum paham biar gk gampang nyungsep di jurang hoax vaksin berisi virus bagiannya yg dipret ,1
mila vaksin astrazeneca tidak menggunakan tripsin babi tidak ada hukum darurat yg perlu dipermasalahkan utas karena bany ,-2
ini penampakan buku oranye berisi tulisan tangan juliari soal pembagian kuota bansos covid ,-1
guys put your mask on ga usah kemana mana kalo ga penting minum vitamin jaga kesehatan biar corona cepet selesai e ,10.0
bm ketua pemuda ph dalam keadaan kritikal lepas dijangkiti covid ,0
aku yg mau vaksin tp masih harus medical checkup dulu dll ditambah saat spt ini rs lg ga kondusif harus nunda lagi kalian yg tinggal brgkt aja masih susah ,-3.0625
rahadian nkri deva kafir nusantara berekor ardi arnoldii kafirnw mae priyo jk ras bosnia itu dulunya muslim ga lihat pasukan muslim ss bentukan nazi ,2
bole kakak obatnya kakak kontroversi obat terapi covid ,-7
dira wizara ya afya imezidi kutoa onyo kwa wakenya kuepuka mikusanyiko ya kisiasa ikisema kenya isipotahadhari huenda ,8
hindari penularan covid ,0
alhamdulilah sudah di vaksin pak diluar sana masih banyak orang bodoh dengan cara berpikir primitif amp kurangnya pemahaman akal sehat yg menolak di vaksin atau mungkin yg menolak itu sadar diri bahwa vaksin hanya diperuntukan buat manusia ,1.5
min aku cek persyaratan perjalanan domestik di jkt banjarmasin skrg udah gak pake surat keterangan perjalanan cukup vaksin pcr dan ehac apa betul min tolong dibantu terimakasih,6
sehubungan dgn masa pandemik ketua dpr puan maharani jg meminta asn harus proaktif bisa menjadi solusi atas berbagai p ,5.25
laksanakan bakti sosial kumham peduli kumham berbagi rutan kelas medan bagikan paket bantuan bagi masyarakat sekitar yang terdampak covid ,15
polsek bwi posko ppkm adalah ikhtiar dalam memastikan perekonomian masyarakat terap berjalan ditengah ,3
yup boleh jadi lepas vaksin even ko rasa tak ada simptom ko still kena rehat bnyak dia senang trigger,0
kes baharu mengikut kategori ,3
vaksin ulang ges minimal az yg diterima eropa,-1
ketua dpd ri aa lanyalla mahmud mattalitti kembali menegaskan dukungan untuk vaksin nusantara ,4
kemaren dah diatur abis sempro harus vaksin jgn tunda eh ternyata ribet astagaaa,-10.5
