original_tweet,sentiment_result
aku dari september mau ptm bener aja ada covid online lagi deh,8
aku tinggal perbatasan bekasi barat jakarta timur cuma dibatasi jembatan tol emang beda banget jakarta ptm,-1
haha abis jatuhin anak kabur makanya rajin tengok kebawah om sebelum menghina anak lain jangankan bicara fasilitas signal antar daerah aja berbeda jadi sudah benar ptm dilakukan agar pendidikan dapat dirasakan semua,-13
ptm lagi anjir sesian mulu,0
ptm jam segini sudah dipulangkan karena pjj lagi,-2
mendingan ptm kalau pjj tugasnya susah susah,-10
aneh ketika covid tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan,6
ptm tolong segera direvisi jujur siap jemput adek sekolah jauh,11
aaaaaa mau ptm aja,6
realitas kasus kematian covid meningkat dalam sepekan per ada kematian terlalu dini bagi,nan
anakku vaksin termaksud aku uber sana gurunya aku perduli ancam ikut ptm aku,0
alasan saya benci daring karena guru suka seenaknya disuruh belajar bukan jamnya suruh kuis waktunya murid tidur istirahat kalau ptm semisalnya hadir ya paling kuis kalau dipaksain jam pulang lol,6
soalnya emang berhentikan ptm gampang belum dengerin keluhan keluhan selama lanjut lanjut cuma resikonya jadi banyak kena,3
kayaknya gue update buat beberapa soalnya lagi beberes barang buat pindahan deng lebih tepatnya buat persiapan ptm jadi agak sibuk belum lagi nyari kosan kampus gue infonya telat banget jadi grasak grusuk hadeh,-6
ketika setuju anakmu vaksin alasan ptm vaksin tersebut berakibat buruk anakmu jangan salahkan,-1
pengennya pjj gurunya ngasih materi tugasnya usah banyak banyak kalau ptm pengennya dikurangin kasih kerja kelompok pjj rasa ptm,4
mending ptm bener kalau daring banyak banget tugas,7
kangen ptm,3
jangan ptm huahua tunggu gue sembuh dulu,-1
ptm enak banget deh aku iri,4
kangen banget kemarin ptm kangen gangguin prema ajus hue,4
emg kayaknya bakal sekolah gue dari semangat banget ptm sekarang katanya lagi lockdown selama,-7
hah enak ptm aing daring,5
tumben punya akal sehat mengajak menggunakan akal sehat,9
kalau berani mencetuskan ptm sudah siap dong penanggulangannya kayak tempat karantina aja kaga disediain kalau seumpa ada positif gimane dah masa mau tetap kosan meanwhile doang tinggal disitu,14
kalau emang pjj situasi kayak aku dukung deh walaupun lebih suka ptm karena tiap dikepung orangorang,5
alahhh mood anjir ptm mau lagi,5
sepertinya semester ptm ide buruk,-2.5
ptm pjj lagi gue kesel banget sial,-15
seneng ngerasain ptm eh sekarang malah lagi hadeh,-1
ketika sudah seneng mindep mau pembelajaran ptm ehhh malah jadi rasanya kayak jsbadndmks why ada senang ketemu guru killer ada sedih ketemu teman wkwk serba salah astaga,33
mau balik ptm plis,1
gue mau pjj asli lebih milih ptm jam kosong pjj,-1
ooo sama dom zona merah sekolah ada niat balik ptm stay safe yaaa,11
mau ptm aja ribet banget persyaratannya,3
emg belum pernah ptm balik pjj lagi,-7
usah ptm lahh pjj aja sudah sampai lulus,10
