created_at,username,tweet
2022-02-02 04:10:49+00:00,misshani96,sasall pemerintah mengumumkan perubahan masa karantina hari bagi pelaku perjalanan dari luar negeri menko marves luhut binsa 
2022-02-02 04:10:49+00:00,justediplease,hafidz mengapa kanak kanak perlu kita vaksin juga boleh lihat graf di bawah mudah difahami oleh kerana orang dewasa telah 
2022-02-02 04:10:45+00:00,Zaindamai,pakar meyakini kasus covid belakangan ini tidak mencerminkan kondisi sebenarnya dan diperkirakan jauh lebih ngegas namu 
2022-02-02 04:10:44+00:00,Ahmad02219995,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:10:44+00:00,misshani96,sasall sebanyak produk vaksin covid sebagai penguat antibodi mendapatkan izin penggunaan darurat dari badan pengawas obat dan 
2022-02-02 04:10:41+00:00,SandalJ33651908,memberitahukan pengetahuan pada orang yang kecanduan vaksin itu sulid mereka lebih memilih sakau dari pada hidup normal 
2022-02-02 04:10:39+00:00,dindapu19910437,bpom lampung jamin vaksin booster aman prokes tangkal omicron 
2022-02-02 04:10:38+00:00,misshani96,sasall presiden mengingatkan seluruh masyarakat untuk waspada terhadap ancaman covid sea meminta tni polri bersea 
2022-02-02 04:10:35+00:00,fkmui,pimpinan sivitas akademika dan keluarga besar fkm ui mengucapkan selamat dan sukses sea turut bangga atas apresiasi kepada dr pandu riono mph phd pada jakaa award kategori covid collaborative response dari festival kolaborasi jakaa 
2022-02-02 04:10:31+00:00,miavita_2021,saya gak share rekening bank ya karena saya kelola anak anak yatim mengelola sendiri kalau ada rezeki santunan kalau tak 
2022-02-02 04:10:31+00:00,didi_405,indonesia resmi masuk gelombang ketiga covid 
2022-02-02 04:10:29+00:00,MembacaSatu,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:10:22+00:00,SuaraRa60576371,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:10:21+00:00,22Kltn,pelda wiradi babinsa desa bulan koramil wonosari kodim klaten melaksanakan komsos bersama perangkat desa di kantor desa bulan kecamatan wonosari kabupaten klaten jalin sinergitas amp hinbau prokes upaya cegah penyebaran covid diwilayah binaan 
2022-02-02 04:10:16+00:00,dindapu19910437,bpom lampung jamin vaksin booster aman prokes tangkal omicron 
2022-02-02 04:10:15+00:00,sunatlaserbeam,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:10:13+00:00,HurryKoRn,dimas riverheaven id jamgam cuma ss judul baiknya tampilkan link nya juga bro isinya bukan menghambat amp itu senada dg muhammadiyah kok saama mendukung program vaksin booster 
2022-02-02 04:10:11+00:00,HumasPolsekBgl,jangan malas pakai masker pandemi covid belum berakhir 
2022-02-02 04:10:08+00:00,ucayaaa,intinya jangan sampai virus bs masuk ke badan kita dg menutup pintu masuknya pake masker dan prokes lain bentengi imun spesifik 
2022-02-02 04:10:05+00:00,rst_soedjono,ayoo vaksin booster bagi masyarakat kab kota magelang khususnya lansia silahkan datang di rumkit tk ii dr soedjono dengan syarat sudah melakukan vaksinasi dan vaksin aman amp halal gratis hari rabu kamis dan jumat pukul wib jaya kesehatan angkatan darat 
2022-02-02 04:10:05+00:00,lpkaternate_,bersama puskesmas kota ternate bekerjasama dengan badan intelejen negara daerah maluku utara lpka ternate kemenkumham malut laksanakan kegiatan vaksinasi covid kepada andikpas baca selengkapnya di 
2022-02-02 04:10:04+00:00,apreiskagilang,tidak ada tempat tidur untuk picu pediatric intensive care unit atau ruang perawatan intensif untuk anak anak khusus co 
2022-02-02 04:10:04+00:00,jpnncom,kasus aktif di jakaa hingga selasa malam naik sebanyak kasus sehingga jumlah kasus aktif atau orang yang dirawat kini mencapai 
2022-02-02 04:10:03+00:00,KompasTV,badan pom terbitkan izin penggunaan darurat vaksin sinopharm untuk booster 
2022-02-02 04:10:03+00:00,ucayaaa,ini virus ngeri bener mereka udah ga peduli sama paru manusia tp tujuan penyerangannya mulai bergeser seolah olah nemu cara 
2022-02-02 04:09:59+00:00,tidaksemampaii_,oh booster ka kalo boleh tau itu jangka waktu dari vaksin ke berapa lama ka 
2022-02-02 04:09:54+00:00,chaatriex,corona sdng libur imlek 
2022-02-02 04:09:52+00:00,SakiinaQhiCO_33,guna mewaspadai penyebaran varian omicron presiden menekankan kepada jajaran tni polri untuk terus menggencarkan ge 
2022-02-02 04:09:49+00:00,KualuhHulu,pers polsek kualuh hulu melaksanakan pam monitor pelaksanaan vaksinasi covid yang ada diwilayah hukum polsek kualuh hulu rabu pkl wib 
2022-02-02 04:09:49+00:00,MinC900,vaksin covid untuk anak telah teruji dan terjamin keamanannya waspadai provokasi kelompok kepentingan terkait kasus meninggalnya anak pasca mengikuti vaksinasi covid prokes tangkal omicron 
2022-02-02 04:09:48+00:00,PolsekBabelan,vaksinasi merdeka anak polres metro bekasi kompol sutrisno se kapolsek babelan didampingi wakapolsek akp saiful anwar dan bhabinkamtibmas kelurahan kebalen aiptu mislan melakukan monitoring pengamanan giat vaksin anak dosis rabu 
2022-02-02 04:09:47+00:00,yagapapakok,seifikat vaksin internasional kini telah tersedia di aplikasi pedulilindungi seifikat ini telah sesuai d 
2022-02-02 04:09:45+00:00,karawang_online,tekan angka penyebaran covid di kota bekasi polres metro bekasi kota membubarkan sejumlah tempat hiburan malam thm di wilayah kota bekasi 
2022-02-02 04:09:42+00:00,HeyyFarahhhh,bln lalu temen bilang far gw jg ada ai sama kek elu tp gw vaksin n baik aja tuh sekarang ampun deh sebulan ini gw udah kena flu x meriang trs badan gw makin sering lemes me mpooshh lu kata efeknya itu langsung ada jg yg setelah beberapa bulan n tahun kalik 
2022-02-02 04:09:40+00:00,jeonggukpaiting,deja vu ntar ketemu temen lagi pas vaksin ke kek wkt vaksin amp 
2022-02-02 04:09:39+00:00,ameroseeatp,ini virus ngeri bener mereka udah ga peduli sama paru manusia tp tujuan penyerangannya mulai bergeser seolah olah nemu cara 
2022-02-02 04:09:37+00:00,nurrazif,jakaa nah ini banyak yg salah kaprah udah di vaksin kok masih bisa kena covid yang penting prokes nya jangan kendor dah 
2022-02-02 04:09:34+00:00,tvOneNews,bpom kasih lampu hijau vaksin sinopharm untuk booster 
2022-02-02 04:09:33+00:00,tvOneNews,kota bekasi capai kasus covid pembelajaran tatap muka dihentikan sementara 
2022-02-02 04:09:28+00:00,MinC900,mewaspadai provokasi kelompok kepentingan terkait penolakan vaksin karena vaksin covid yang telah dipilih pemerintah telah teruji dan terjamin keamanannya prokes tangkal omicron 
2022-02-02 04:09:25+00:00,gettinzeno,ini virus ngeri bener mereka udah ga peduli sama paru manusia tp tujuan penyerangannya mulai bergeser seolah olah nemu cara 
2022-02-02 04:09:24+00:00,hidupsquidward,selamat sore sehubungan dgn meningkatnya covid saya amp team menawarkan kpd tmn saudara yg terpapar covid amp ingin peraw 
