,date,tweet,tweet_tokens,tweet_tokens_WSW,tweet_normalized
0,2022-01-30 23:41:43+00:00,semangat sekolahmeskipun ptm,"['semangat', 'sekolahmeskipun', 'ptm']","['semangat', 'sekolahmeskipun', 'ptm']",semangat sekolah meskipun ptm
1,2022-01-30 23:23:30+00:00,oiyaa aku lupa ada ptm,"['oiyaa', 'aku', 'lupa', 'ada', 'ptm']","['oiyaa', 'aku', 'lupa', 'ada', 'ptm']",oiyaa aku lupa ada ptm
2,2022-01-30 23:22:20+00:00,rt sch any thoughts ada pilihan sih sebenernya kata aku balik pjj ptmlanjut ptm,"['rt', 'sch', 'any', 'thoughts', 'ada', 'pilihan', 'sih', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']","['rt', 'sch', 'thoughts', 'ada', 'pilihan', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']",rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm
3,2022-01-30 23:18:37+00:00,schapp pagi sender masih ptm tapi jadi,"['schapp', 'pagi', 'sender', 'masih', 'ptm', 'tapi', 'jadi']","['schapp', 'pagi', 'sender', 'ptm', 'jadi']",schapp pagi sender ptm jadi
4,2022-01-30 22:49:20+00:00,sudah sama ptm,"['sudah', 'sama', 'ptm']","['sudah', 'sama', 'ptm']",sudah sama ptm
5,2022-01-30 22:42:48+00:00,rt kasus covid terus meningkat kaji ulang ptm penghentian ptm merupakan opsi yang bisa dilakukan berbasis kajian,"['rt', 'kasus', 'covid', 'terus', 'meningkat', 'kaji', 'ulang', 'ptm', 'penghentian', 'ptm', 'merupakan', 'opsi', 'yang', 'bisa', 'dilakukan', 'berbasis', 'kajian']","['rt', 'kasus', 'covid', 'meningkat', 'kaji', 'ulang', 'ptm', 'penghentian', 'ptm', 'merupakan', 'opsi', 'dilakukan', 'berbasis', 'kajian']",rt kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi dilakukan berbasis kajian
6,2022-01-30 22:42:12+00:00,demi apapun aku mager sekolah bkn mslh hari kejepit ato liburnya cmn tuh aku dr minggu yg lalu udh ptm ,"['demi', 'apapun', 'aku', 'mager', 'sekolah', 'bkn', 'mslh', 'hari', 'kejepit', 'ato', 'liburnya', 'cmn', 'tuh', 'aku', 'dr', 'minggu', 'yg', 'lalu', 'udh', 'ptm']","['apapun', 'aku', 'mager', 'sekolah', 'bkn', 'mslh', 'kejepit', 'ato', 'liburnya', 'cmn', 'aku', 'dr', 'yg', 'lalu', 'udh', 'ptm']",apapun aku mager sekolah bukan mslh kejepit ato liburnya cmn aku dr yang lalu udh ptm
7,2022-01-30 18:01:12+00:00,rt sch any thoughts ada pilihan sih sebenernya kata aku balik pjj ptmlanjut ptm,"['rt', 'sch', 'any', 'thoughts', 'ada', 'pilihan', 'sih', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']","['rt', 'sch', 'thoughts', 'ada', 'pilihan', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']",rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptmlanjut ptm
8,2022-01-30 17:28:15+00:00,first ptm setelah hampir tahun lebih cuman sampe jam set lamanya berasa banget udah kek setengah hari la,"['first', 'ptm', 'setelah', 'hampir', 'tahun', 'lebih', 'cuman', 'sampe', 'jam', 'set', 'lamanya', 'berasa', 'banget', 'udah', 'kek', 'setengah', 'hari', 'la']","['first', 'ptm', 'setelah', 'hampir', 'lebih', 'cuman', 'sampe', 'jam', 'set', 'lamanya', 'berasa', 'banget', 'udah', 'kek', 'setengah', 'la']",first ptm setelah hampir lebih cuman sampe jam set lamanya berasa banget udah kayak setengah la
9,2022-01-30 16:05:50+00:00,rt sch any thoughts ada pilihan sih sebenernya kata aku balik pjj ptmlanjut ptm,"['rt', 'sch', 'any', 'thoughts', 'ada', 'pilihan', 'sih', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']","['rt', 'sch', 'thoughts', 'ada', 'pilihan', 'sebenernya', 'kata', 'aku', 'balik', 'pjj', 'ptmlanjut', 'ptm']",rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm
10,2022-01-30 15:21:04+00:00,sekalian pjj aja soalnya kel ptm aku gasik bikin ga mood cekulah aja xixi,"['sekalian', 'pjj', 'aja', 'soalnya', 'kel', 'ptm', 'aku', 'gasik', 'bikin', 'ga', 'mood', 'cekulah', 'aja', 'xixi']","['sekalian', 'pjj', 'aja', 'soalnya', 'kel', 'ptm', 'aku', 'gasik', 'mood', 'cekulah', 'aja', 'xixi']",sekalian pjj aja soalnya kel ptm aku ga asik mood cekulah aja xixi
11,2022-01-30 15:11:44+00:00,mingdep ptm lagi jing padahal kan,"['mingdep', 'ptm', 'lagi', 'jing', 'padahal', 'kan']","['mingdep', 'ptm', 'lagi', 'jing']",mingdep ptm lagi jing
12,2022-01-30 15:09:32+00:00,setengah ptm setengah pjj,"['setengah', 'ptm', 'setengah', 'pjj']","['setengah', 'ptm', 'setengah', 'pjj']",setengah ptm setengah pjj
13,2022-01-30 15:09:05+00:00,rt silent jogja kembali berlakukan ptm persen setelah bbrp siswa positifsmg segera landai lagi,"['rt', 'silent', 'jogja', 'kembali', 'berlakukan', 'ptm', 'persen', 'setelah', 'bbrp', 'siswa', 'positifsmg', 'segera', 'landai', 'lagi']","['rt', 'silent', 'jogja', 'kembali', 'berlakukan', 'ptm', 'persen', 'setelah', 'bbrp', 'siswa', 'positifsmg', 'segera', 'landai', 'lagi']",rt silent jogja kembali berlakukan ptm persen setelah bbrp siswa positifsmg segera landai lagi
14,2022-01-30 14:36:54+00:00,eh ada ingfo kalo besok di sesi lg alias ptm,"['eh', 'ada', 'ingfo', 'kalo', 'besok', 'di', 'sesi', 'lg', 'alias', 'ptm']","['eh', 'ada', 'ingfo', 'kalo', 'besok', 'di', 'sesi', 'lg', 'alias', 'ptm']",eh ada ingfo kalo besok di sesi lagi alias ptm
15,2022-01-30 14:35:35+00:00,yg positif aja trus jdi ptm sm guru guru jdi lebih sering sidak prokes dadakan,"['yg', 'positif', 'aja', 'trus', 'jdi', 'ptm', 'sm', 'guru', 'guru', 'jdi', 'lebih', 'sering', 'sidak', 'prokes', 'dadakan']","['yg', 'positif', 'aja', 'trus', 'jdi', 'ptm', 'sm', 'guru', 'guru', 'jdi', 'lebih', 'sering', 'sidak', 'prokes', 'dadakan']",yang positif aja trus jdi ptm sm guru guru jdi lebih sering sidak prokes dadakan
16,2022-01-30 14:30:19+00:00,pengennya ptm,"['pengennya', 'ptm']","['pengennya', 'ptm']",pengennya ptm
17,2022-01-30 14:26:02+00:00,ini ptm bakal lg,"['ini', 'ptm', 'bakal', 'lg']","['ptm', 'bakal', 'lg']",ptm bakal lagi
