date,original,tweet
2022-01-30 23:41:43+00:00,semangat sekolah meskipun ptm,semangat sekolah meskipun ptm
2022-01-30 23:23:30+00:00,oiyaa aku lupa ada ptm,oiyaa aku lupa ada ptm
2022-01-30 23:22:20+00:00,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm
2022-01-30 23:18:37+00:00,schapp pagi sender ptm jadi,schapp pagi sender ptm jadi
2022-01-30 22:49:20+00:00,sudah sama ptm,sudah sama ptm
2022-01-30 22:42:48+00:00,rt kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi dilakukan berbasis kajian,rt kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi dilakukan berbasis kajian
2022-01-30 22:42:12+00:00,apapun aku mager sekolah bukan mslh kejepit ato liburnya cmn aku dr yang lalu udh ptm,apapun aku mager sekolah bukan mslh kejepit ato liburnya cmn aku dr lalu udh ptm
2022-01-30 18:01:12+00:00,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptmlanjut ptm,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptmlanjut ptm
2022-01-30 17:28:15+00:00,first ptm setelah hampir lebih cuman sampe jam set lamanya berasa banget udah kayak setengah la,first ptm setelah hampir lebih cuman sampe jam set lamanya berasa banget udah kayak setengah la
2022-01-30 16:05:50+00:00,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm,rt sch thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm
2022-01-30 15:21:04+00:00,sekalian pjj aja soalnya kel ptm aku ga asik mood cekulah aja xixi,sekalian pjj aja soalnya kel ptm aku asik mood cekulah aja xixi
2022-01-30 15:11:44+00:00,mingdep ptm lagi jing,ptm lagi jing
2022-01-30 15:09:32+00:00,setengah ptm setengah pjj,setengah ptm setengah pjj
2022-01-30 15:09:05+00:00,rt silent jogja kembali berlakukan ptm persen setelah bbrp siswa positifsmg segera landai lagi,rt silent jogja kembali berlakukan ptm persen setelah bbrp siswa positifsmg segera landai lagi
2022-01-30 14:36:54+00:00,eh ada ingfo kalo besok di sesi lagi alias ptm,eh ada ingfo kalo besok di sesi lagi alias ptm
2022-01-30 14:35:35+00:00,yang positif aja trus jdi ptm sm guru guru jdi lebih sering sidak prokes dadakan,positif aja trus jdi ptm sm guru guru jdi lebih sering sidak prokes dadakan
2022-01-30 14:30:19+00:00,pengennya ptm,pengennya ptm
2022-01-30 14:26:02+00:00,ptm bakal lagi,ptm bakal lagi
2022-01-30 14:25:41+00:00,akuuu sekolah bilangnya dari prov jateng bukan pjj tadinya ptm dikurangi jadi atau pjj,akuuu sekolah bilangnya dari prov jateng bukan pjj tadinya ptm dikurangi jadi atau pjj
2022-01-30 14:23:24+00:00,sblm daring lagi gua ge ptm belum pernah,sblm daring lagi gua ge ptm belum pernah
2022-01-30 14:16:24+00:00,aku jakarta ptm jadi pjj sisahnya ptm sekolah lain,aku jakarta ptm jadi pjj sisahnya ptm sekolah lain
2022-01-30 14:15:40+00:00,punya gue ptm,punya gue ptm
2022-01-30 14:03:49+00:00,deng wkakajwj mulai besok ptm lagi gue suka ptm really really fun tho,deng wkakajwj mulai besok ptm lagi gue suka ptm really really fun tho
2022-01-30 14:00:47+00:00,sekolah kalbar ptm mungkin kedepannya ptm,sekolah kalbar ptm mungkin kedepannya ptm
