,tweet
0,pjj lgi aja deh ptm terbatas jg ptm gua kaget capek dihajar tugas pembagian jadwal
1,sedih mulai udah mulai ptm terbatas lagi
2,sekolah anak saya ada ptm karena ada vaksin dosis kelas infonya bukan karena lonjakan kasus besok kembali ptm seperti jadwal sebelumnya saya sebagai tua keberatan info yang serba dadakan dari pihak sekolah
3,ptm udah capek bangettugas kelompok menerus habis belajar cepet
4,mulai depan sekolahku ptm terbatas lagi aaaa
5,semangat pagi untuk ptm terbatas
6,horor banget bangun pagi di kasih info depan mulai ptm terbatas
7,semua tergantung tuanya cabut anak suruh daring jika sekolah marah karena anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan ndak usah repot anak saya wlu sekolah wajib ptm sdh th tetap daring hak saya sbg orng tua
8,sekolah rin balik ptm gegara ada yang word trs rin milih buat masuk sekolah karena takut
9,anak saya yang sd belum saya bolehkan masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan ikut ptm dikasih tugas harian saja
10,saya usul tetap ptm argumentasi saya yang boleh ptm adalah anak yang sudah divaksin yang ptm orangtuanya sudah vaksin lengkap protokol kesehatan di sekolah diawasi sekolah online memperlihatkan ketimpangan pendidikan yang parah cukup jangan lagi
11,beberapa lalu saya minta saya agar keponakan saya usah ptm minta tugas apapun sama gurunya barusan kasih kabar lebih dari tua melakukan hal sama selamatkan anak anak
12,aku kemaren kemaren sebelum ptm begadang sampe dini tp semenjak ptm badan jadi capek banget
13,sekolah anak saya berani hentikan ptm sampai kemarin ada anak yang positif covid sekeluarga ptm dihentikan tp cuma sementara pejabatnya tenang aja mungkin mikirnya ah kena anak bukan saya
14,kalau pjj mkn teratur soalny plang kmpung ada ibu yang masakklo ptm jdi anak kosan mles masak mau beli rugii wkwk
15,di sekolah anak saya walau anak tidak bersedia di vaksin diperbolehkan ptm koqtdk ada perbedaan
16,di sekolah gua udah kena covid tp sekolah tetap kekeuh buat ptmt kalo udah libur nunggu tumbal sekolah mau bayar biaya perawatannya kah kalo misalkan kena mau ngegantiin nyawa kalo sampe ada
17,anjrit kemarin kakel gua skrng temen seangkatan gua ada yang kena cororong untung aja kemarin emak gua ijinin masuk ptm
18,top bu saya jg begitu diminta isi form vaksin kalau vaksin mjd syarat ptm anak saya online aja dibilang ada pembelajarn online saya jawab yaa udah anak kluar ehhdihub agar masuk sekolah setelah sekolah
19,pjj enak santai memahami materi suka kesusahan ptm males sakit perut males ketemu banyak
20,ada guru agama kemarin ptm sangking ngantuk gua ketiduran kayanya first time gua tidur di kelas deh wkwkwk
21,aku anak harusnya ptm diundur jadi feb ptm mau belajar bingung aku belum dimasukin group kelas
22,yang mau anaknya pjj silahkan jangan recoki anak yang semangat ptm lagian saran saya kalau anak kena omicron yang gejalanya bapil ya anaknya disuruh istirahat minum obat flu biasa jangan disuruh swab tokh obatnya jg sama dengan obat flu biasa
23,jakarta masuk lagi ppkm level sekolah diminta ptm sekolah anak saya berani ubah kebijakan karena mengacu skb kementerian katanya
24,udah mingguan ptm diumumin malem disuruh pjj lagi hehehe
25,mau sekolah ptm di undur jadi feb sekarang pjj mau belajar aku belum dimasukin group kelasnya
26,ptm malah lebih enak tau tugasnya aneh lebih sering bahas materi tp krna aku kebagian sesi pjj jadi tugasnya aneh
27,dimana sekolah anak saya sehat semua ptm lancar anak makin cerdas ribu termasuk anak sekolah dikecamatan jagakarsa jaksel pasti prof semua pjj punya privilege ada smartphone kuota kecuali mau modalin sampe pelosok
28,halo gue ptm lagi alias anjing males banget
29,anak saya semangat banget ptm karena blom merasakan pake jas lab masuk lab smp berseloroh inilah anak ipa yang pernah masuk lab tp sehat jaug lbh penting kalau kakaknya lbh worrt lagi takut kuliah plonga plingo kalau masuk lab jawab se indo senasib semua kayak
30,gagal ptm trs wisuda online gajadi offline asik
31,kasian anak pandemi punya temen mainnya sama sepupu doang begitu ngaji ptm seneng banget selalu ceria
32,alhamdulillah skrng udah normal semenjak ptm lagiipas sebelum ptm pasti tidur diatas jam gituan
33,lintang belum sekolah tp sudah mengaji ngajinya semester full ptm semester sebelumnya online
34,schapp anak kelasku banyak gamasuk woyy sakit jadi takut ptm
35,ptm pjj mls dah asli
36,dari sw temen bukan masalah ptm pjj nyaa elu ajaaa kalau pjj fokus jadi jangan salahin ptm
37,tetap ptm walau ngerjain tugas
38,sepertinya dihabiskan ptm mungkin tidur sksksk by the way sika tudey mau ngapain
39,iyaaaakkk selolah drea pjj lagi tp td sekolahan dibelakang rumah ptm
40,pjj santai ptm lebih cepet paham materi
41,aku mau seneng ada ptm jadi ulangan ada ptm karna berita duka ya
42,entah kenape guru guru ptm ngeselin semua ngasik tugas aneh aneh
43,mending ptm
44,skolah swasta gtw ada yang mreka msi ptm atau hti dah atau negri
45,suka pjj santai males malesan lama kelamaan bosen pengen ptm biar paham
46,semangat buat yang lagi ptm jangan anehaneh di sekolah
47,yeochin wii semangatt aku sebelumnya ptm tiap krna dikelas ada yang kena covid jadi pjj lagi
48,semoga ptm diberentikan deh kak di jakarta udah sekolah ditutup gegara ada kasus positif
49,iya sihsy ngijinin anak saya di vaksin mbak karena anak saya dari kecil sering di rawat di rssy mau ambil resiko tau besok boleh ptm
50,aku kemarin ptm sesi dua pulang jam tp di sekolah karena ada rapat pramuka
51,wduch kayanya beneran ptm meja udh lagi wkwkw
52,gajadi wkwk ada harapan ptm kalo sampe besok kasus
53,buat kkl kalo ujungnya piknik males banget wahai dkn belum persiapan luring ptm kost dll
54,ptm kebanyakan tugasnya kelompok
55,udah aja awali semangat walaupun sekolah udah ptm tetap belajar
56,anjing lahh dah siapsiap taunya ada ptm
57,ak heran sm skolah yang ad kasus kopit di skolahny tp tetap adain ptm
58,ptm seindah yang diharapkan
59,enak banget ptm mau ptm
60,gua kira udh ptm jam tdrnya bakal berubah ternyata sama ajaa malah makin parah
61,pjj gatau semenjak ptm semangat gua jadi hilang trus jadi niat
62,kebijakan ptm mau ditinjau lagi sekolah anak saya dah ada kejadian sd sma habis ptm keesokannya positif jadi merepotkan semua yang ikut ptm kena tracing harus sekeluarga pcr dll walaupun belum pasti kenanya di sekolah jadi cluster
63,mangatzzz ptm zaaa great day jugak yaaa
64,wow temen sekolah uda ada yang positive mericon
65,jika ada yang positif kena tracing semua lbh baik ptm trus lanjut daringthn kemaren anak saya sistemnya begini
66,gue gamau pjj anjing udah enak banget ptm
67,duhhh cinta bersemi di ptm kah
68,sch kalian ada sejak ptm rasanya capeek bgttt bentaran doang sekolahnya
69,di ak ptm full
70,ptm belajarnya belum normal blik jam
71,enakk ptm by the way pagi
72,semangat ptm nyaa
73,belum full ptm udah di suruh pjj lagi tugas kelompok banyak benerr
74,ptm males bngt
75,huaaa aku malah pjj trs nder huhu nyobain ptm malah
76,kalo bangun buat pjj ngantuk bngt ptm terlalu
77,smoga ahok segera join dengan ptm yaa
78,okeyy deh aku udh ptm lagi kayaknya
79,selama ptm aku dikasih uang jajan sepuasnya tiap jadi aku ngambil agak banyak trs sisanya aku simpen
80,kalo kaka mo ptm hehehe
81,lebih suka ptm tp capee poll
82,daring ptm waktunya daring
83,cuman mo sekarng giliran kls ak daring tinggal absen doangk soal kmren udah di kasi tugas ptm
84,ptm huwaaaaaaa
85,ih bentar lagi ptm aku siap bertemu macam ras manusia meskipun aku berasal dari ras trkuat di muka bumi readwibu
86,semangat ptm
87,enak jink gue malah maunya pjj cape bget ptm
88,pjj dong aih malah ptm mulu jaba tugas kelompok wae
89,tau semenjak ptm aku jadi lebih males
90,enak dongk absen doangk soal kmarin udah di kasi tugas ptm
91,ptm gara banyak guru yang positif jadi sekola di tutup
92,aku pjj jugaa hiks pengen ptm
93,ptm tetap diberlakukan namanya nekat
94,awal pjj udah agak mending dengan masuk dengan sistem absensi ganjil genap ketimbang ptm dilakukan
95,semenjak ptm gue atm nyetor mulu setiap
96,yang balik pjj lagi sekolah aja ya ko skolahku ptm
97,knp harus begini disaat gue mau ptm
98,enak sekalie msie ptm
99,cityx sedihhh giliran udh nyaman ptm malah kasus makin banyak
100,ptm seru tugas kelompok tepar
101,aku males banget ptm dahh mau tidur
102,gue lagi ptm yaallah nyesek aksa kemana
103,anak kelas sebelah gue yang kena sembuh biar gue ptm lagi
104,ptm tp ptm sering sakit gara kecapean dsb
105,camat pagi dri aku yang pjj lagi huft semoga anak sebelah sembuh biar ptm lagi amin
106,semangatt aku sama ptm
107,alo selamat pagi aku kembali pjj lagi enakan ptm
108,sama katanya masuk ptm lagi
109,nataru dilonggarin sekolah dibuka ptm temen gue story tempat swab udah rame lagi abis liat
110,kalian ptm dapet jajan
111,temanku pda males berusaha banget biar ptm smpe chat di grup
112,aku ptm tetep kesekolah karena ada kegiatan lain high semanga
113,baca cerita tua yang curhat tentang kegiatan ptm di sekolah anaknya makin makin pusing bener dah nyawa anak dikira apaan
114,ptm walaupun sakit badan materi nemplok di kepala
115,ngasih info ptm pagi pagi anjg gua udah rapih
116,bayangin se kesel ak kemarin hri libur tpi ngsih tugas aja karna guru pergi skrng tiba tiba disuruh
117,ptm menyenangkan sampai ulangan pake kertas
118,ptm tpi gue males jdi akhirnya daring
119,katanya mau pjj lagi dah seruan ptm
120,kalian ada sejak ptm rasanya capeek bgttt bentaran doang sekolahnya
121,ptm seru yang seru bangun pagi
122,ptm anjir sangking emosi sampe typo
123,pjj karena setelah ptm ak sadar klau sekolah bener bener loss prokres
