id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:33:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Dj_Bams74 Makanya rajin tengok kebawah om sebelum menghina anak orang lain

Jangankan bicara fasilitas signal antar daerah aja berbeda 😂

Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",rajin menjenguk kebawah om menghina anak lain jangankan bicara fasilitas signal daerah aja berbeda benar ptm agar pendidikan dirasakan,in,0,0,Catatan_ali7,,,Dj_Bams74,JL kopral sayom Klaten,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:32:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", @bringdreambetru Mungkin lagi engga ptm chel sekolahnya,mungkin lagi ptm chel sekolahnya,in,0,0,masssJake_,,,bringdreambetru,He or Him,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:32:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",aku tinggal perbatasan bekasi barat jakarta timur dibatasi jembatan tol emang beda banget jakarta ptm,in,1,0,denni_aprianty,,,KeripikMama_87,"Sukawati, Indonesia",
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:32:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," @Dj_Bams74 Hahahahaha 🤣😂 Abis jatuhin anak orang kabur 😂  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda 😂 Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",hahahahaha habis jatuhin anak kabur rajin menjenguk kebawah om menghina anak lainjangankan bicara fasilitas signal daerah aja berbeda benar ptm agar pendidikan dirasakan,in,0,1,Catatan_ali7,,,Dj_Bams74,JL kopral sayom Klaten,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:32:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,ptm lagi anjng sesian melulu,in,0,0,lificiizz,,,,TEULAND 08,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:31:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini dipulangkan pjj lagi,in,0,0,namjoonivara,,,,namstudy.,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:31:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CNNIndonesia: Luhut Tolak Pengajuan Anies Setop PTM DKI Jakarta https://t.co/WaOKzowziv,luhut tolak pengajuan anies setop ptm dki jakarta,in,0,432,ron_tomino,FALSE,,CNNIndonesia,,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:31:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalau pjj tu tugasnya susah susah,in,0,0,ksjyupa,,,,indonesia,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:30:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh harusnya covid sdg tinggi ptm dihentikan sementara kalau landai ptm dilanjutkan b,in,0,259,Smartfit10,,,fadlizon,,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:30:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@gupismile pjj ni tapi mingdep ptm lagii,pjj ptm lagii,in,0,0,jjnolee23,,,gupismile,,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:30:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AAAAAAAAAA MAU PTM AJA,aaaaaaaaaa mau ptm aja,in,0,0,aylste,,,,hatimu ea,
,,,,,,,,,,,,,
1.48943E+18,Fri Feb 04 02:30:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam sepekan bahkan ada kematian,in,0,1195,lakuna__,,,ProfesorZubairi,,
,,,,,,,,,,,,,
