id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author
1.49E+18,Thu Feb 03 08:03:37 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",aku dari september ptm bener aja ada covid online lagi deh,in,0,0,aarabelllaa
1.49E+18,Fri Feb 04 02:32:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol
Emang beda bgt,, Jakarta masih PTM 🥺",aku tinggal perbatasan bekasi barat jakarta timur cuma dibatasi jembatan tol emang beda banget jakarta ptm,in,1,0,denni_aprianty
1.49E+18,Fri Feb 04 02:32:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," @Dj_Bams74 Hahahahaha 🤣😂 Abis jatuhin anak orang kabur 😂  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda 😂 Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang 😂👍",hahahahaha habis jatuhin anak kabur rajin tengok kebawah om menghina anak lain jangankan bicara fasilitas signal daerah aja berbeda sudah benar ptm agar pendidikan dirasakan semua,in,0,1,Catatan_ali7
1.49E+18,Fri Feb 04 02:32:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TAPI PTM 50% LAGI?? ANJRIT SESI²AN MULU,ptm lagi anjrit sesian melulu,in,0,0,lificiizz
1.49E+18,Fri Feb 04 02:31:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),ptm jam segini sudah dipulangkan karena pjj lagi,in,0,0,namjoonivara
1.49E+18,Fri Feb 04 02:31:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mendingan ptm ya, kalo pjj tu tugasnya susah susah",mendingan ptm kalo pjj tugasnya susah susah,in,0,0,ksjyupa
1.49E+18,Fri Feb 04 02:30:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh harusnya covid sdg tinggi ptm dihentikan sementara kalau landai ptm dilanjutkan b,in,0,259,Smartfit10
1.49E+18,Thu Feb 03 08:01:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e 😂😂",ptm tolong direvisi jujur siap harus jemput adek sekolah e,in,0,0,ekoprasetyo_i
1.49E+18,Fri Feb 04 02:30:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AAAAAAAAAA MAU PTM AJA,aaaaaaaaaa mau ptm aja,in,0,0,aylste
1.49E+18,Fri Feb 04 02:30:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam sepekan bahkan ada kematian terlalu,in,0,1195,lakuna__
1.49E+18,Fri Feb 04 02:30:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. 
D ancam gak bisa ikut PTM, ak…",anakku vaksin termaksud aku uber ma gurunya aku perduli ancam ikut ptm aku,in,0,2,ridhorahadi
1.49E+18,Fri Feb 04 02:30:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",alasan saya benci daring guru suka seenaknya disuruh belajar bukan jamnya suruh kuis murid tidur istirahat kalau ptm hadir paling kuis kalau dipaksain jam pulang wkwkwk,in,0,0,nniss_a7
1.49E+18,Fri Feb 04 02:30:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan.

Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",sih kei soalnya emang berhentikan ptm gampang belum dengerin keluhan keluhan gitu lanjut lanjut resikonya jadi banyak kena,in,0,0,_pitikcilik
1.49E+18,Fri Feb 04 02:30:10 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",kayaknya gue update buat soalnya lagi beberes barang pindahan deng tepatnya persiapan ptm agak sibuk belum lagi kosan kampus gue infonya terlambat banget grasak grusuk hadeeh,in,0,0,jjmxn__
1.49E+18,Fri Feb 04 02:30:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan sia…",setuju anakmu vaksin alasan ptm vaksin berakibat buruk anakmu jangan salahkan,in,0,42,ridhorahadi
1.49E+18,Fri Feb 04 02:30:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkel😔

Bisa ga sih pjj rasa ptm gitu😭",pengennya pjj gurunya ngasih materi gitu tugasnya usah banyak banyak kalau ptm pengennya dikurangin kasih kerkel bisa sih pjj rasa ptm gitu,in,0,0,placelani
1.49E+18,Fri Feb 04 02:29:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mending PTM si bener kalau daring banyak bangt tugas nya,mending ptm si bener kalau daring banyak bangt tugas,in,0,0,menqngg
1.49E+18,Fri Feb 04 02:29:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kangen ptm https://t.co/Yo8Jdg3O4Z,kangen ptm,in,1,0,txtdrpotter
1.49E+18,Fri Feb 04 02:29:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jangan ptm dulu huahua :( tunggu gue sembuh duluuu,jangan ptm huahua tunggu gue sembuh duluuu,in,0,0,scsoundouf
1.49E+18,Fri Feb 04 02:29:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yg masih ptm enak bgt deh, aku iri :(",ptm enak banget deh aku iri,in,0,0,pjiemine
1.49E+18,Fri Feb 04 02:28:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",we kangen bngt kemarin ptm kangen gangguin prema ajus hueeeeee,in,0,0,Iiuyangqis
1.49E+18,Fri Feb 04 02:28:52 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sccumma Emg kita kyknya bakal gt ga sih 😭😭

Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",memang kyknya sih sekolah gue gt dari semangat banget ptm sekarang katanya lagi lockdown,in,0,0,cetenotpete
1.49E+18,Fri Feb 04 02:28:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@4ivengers HAH KOK ENAK PTM, AING DARING",hah enak ptm aing daring,in,0,0,tellmeasecretss
1.49E+18,Fri Feb 04 02:28:33 +0000 2022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tumben @fadlizon punya akal sehat untuk mengajak orang menggunakan akal sehat. https://t.co/yjlC8pF6ni,tumben punya akal sehat untuk mengajak menggunakan akal sehat,in,0,0,8RUTU5
1.49E+18,Fri Feb 04 02:28:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,harusnya kalo berani mencetuskan ptm sih udah siap penanggulangannya seperti karantina aja disediain kalau seumpa ada positif gimane dah ttp kosan meanwhile doang tinggal disitu,in,0,0,coffeecainee
1.49E+18,Fri Feb 04 02:26:11 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orang…",kalo emang harus pjj situasi kek gini aku dukung deh walaupun suka ptm karena dikepung,in,0,1,dindaaaAD
1.49E+18,Fri Feb 04 02:26:02 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,alahhh mood anjir ptm lagi,in,0,0,444meyn
1.49E+18,Thu Feb 03 07:52:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sepertinya semester ini ptm adalah ide buruk,semester ptm ide buruk,in,1,1,quwurencia
1.49E+18,Fri Feb 04 02:25:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,ptm pjj lagi gwe ksl bngt sial,in,0,0,hiyyiedaily
1.49E+18,Fri Feb 04 02:25:08 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh 🙄 https://t.co/UfU5c8a9IB",seneng ngerasain ptm eh skrng bahkan gini lagi hdehh,in,0,0,flowerrfluff_
1.49E+18,Fri Feb 04 02:24:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astaga😩,udah seneng pembelajaran ptm ehhh bahkan seperti jsbadndmks whyyy ada senang ketemu guru killer ada sedih ketemu teman sksks serba salah astaga,in,0,0,jngwoncurry
1.49E+18,Thu Feb 03 07:44:49 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",mau balik ke ptm plis :(,ptm plis,in,0,0,dekyungcoty
1.49E+18,Fri Feb 04 02:24:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",gue pjj asli milih ptm jamkos pjj,in,0,0,yywnaa
1.49E+18,Fri Feb 04 02:23:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@leendino Ooo sama nih dom ku jg zona merah tapi sekolah msh ada niat balik ptm 😭😭, stay safe yaaa",ooo dom zona merah sekolah ada niat ptm stay safe yaaa,in,0,0,cetenotpete
