clean_tweet,sentiment_result
pjj lagi aja deh gak ptm terbatas ptm gua kaget capek dihajar tugas pembagian jadwal,-4
sedih mulai udah mulai ptm terbatas lagi,-2
sekolah anak saya tidak ada ptm karena ada vaksin dosis kelas infonya bukan karena lonjakan kasus besok kembali ptm seperti jadwal sebelumnya saya sebagai tua keberatan info serba dadakan dari pihak sekolah,-56
ptm sudah capek banget tugas kelompok menerus habis belajar cepet,2
mulai depan sekolahku ptm terbatas lagi aaaa,2
semangat pagi ptm terbatas,8
horor banget bangun pagi kasih info depan mulai ptm terbatas,-2
semua tergantung tuanya cabut anak suruh daring jika sekolah marah karena anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan ndak usah repot anak saya walau sekolah wajib ptm sudah tetap daring hak saya sebagai tua,-33
sekolah rin balik ptm gegara ada word rin milih buat masuk sekolah karena takut,-3
anak saya sd belum saya bolehkan masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan enggak ikut ptm dikasih tugas harian saja,-9
saya usul tetap ptm argumentasi saya boleh ptm adalah anak sudah divaksin ptm orangtuanya sudah vaksin lengkap protokol kesehatan di sekolah diawasi sekolah online memperlihatkan ketimpangan pendidikan parah cukup jangan lagi,-6
beberapa lalu saya minta saya agar keponakan saya gak usah ptm minta tugas apapun sama gurunya barusan kasih kabar lebih dari tua melakukan hal sama selamatkan anak anak,-14
aku kemaren kemaren sebelum ptm begadang sampai dini semenjak ptm badan jadi capek banget,-4
sekolah anak saya ngga berani hentikan ptm sampai kemarin ada anak positif covid sekeluarga ptm dihentikan tp cuma sementara pejabatnya tenang aja mungkin mikirnya ah kena anak bukan saya,-7
kalau pjj makan teratur soalny pulang kmpung ada ibu masak kalau ptm jadi anak kosan males masak mau beli rugi wkwk,10
sekolah anak saya walau anak tidak bersedia vaksin diperbolehkan ptm kok tidak ada perbedaan,-20
