,tweet
0,pjj ptm terbatas ptm  kaget capek dihajar tugas pembagian jadwal
1,sedih ptm terbatas
2,sekolah anak ptm vaksin dosis kelas infonya lonjakan ptm jadwal tua keberatan info serba dadakan sekolah
3,ptm capek banget tugas kelompok menerus habis belajar cepet
4,sekolahku ptm terbatas aaaa
5,semangat pagi ptm terbatas
6,horor banget bangun pagi kasih info ptm terbatas
7,tergantung tuanya cabut anak suruh daring sekolah marah anaknya daring laporkan sekolah kepolisi kadisdikbudnya laporkan ndak repot anak sekolah wajib ptm daring hak tua
8,sekolah rin ptm gegara word rin milih masuk sekolah takut
9,anak sd bolehkan masuk sekolah ptm sedihnya sekolah meniadakan daring ptm diperbolehkan ptm dikasih tugas harian
10,usul ptm argumentasi ptm anak divaksin ptm orangtuanya vaksin lengkap protokol kesehatan sekolah diawasi sekolah online ketimpangan pendidikan parah
11,keponakan ptm tugas apapun gurunya barusan kasih kabar tua selamatkan anak anak
12,kemaren kemaren ptm begadang semenjak ptm badan capek banget
13,sekolah anak ngga berani hentikan ptm kemarin anak positif covid sekeluarga ptm dihentikan tapi pejabatnya tenang mikirnya ah kena anak
14,pjj makan teratur soalny pulang kmpung masak ptm anak kosan males masak beli rugi wkwk
15,sekolah anak anak bersedia vaksin diperbolehkan ptm perbedaan
16,sekolah  kena covid tapi sekolah kekeh ptmt libur nunggu tumbal sekolah bayar biaya perawatannya kah kena ngegantiin nyawa
17,anjir kemarin kakel  temen seangkatan  kena cororong untung kemarin emak  ga ijinin masuk ptm
18,top bu isi form vaksin vaksin syarat ptm anak online dibilang pembelajarn online yaa anak ehh dihub masuk sekolah sekolah
19,kasian anak pandemi temen mainnya sepupu doang ngaji ptm seneng banget ceria
20,alhamdulillah normal semenjak ptm ptm tidur jam gituan
21,lintang sekolah mengaji ngajinya semester full ptm semester online
22,anak kelasku gamasuk woe sakit takut ptm
23,ptm pjj mls asli
24,ptm ngerjain tugas
25,pjj santai ptm cepet paham materi
26,seneng ptm ulangan ptm berita duka ya
27,guru guru ptm ngeselin ngasik tugas aneh aneh
28,mending ptm
29,sekolah swasta gatau mreka ptm hati negri
30,suka pjj santai males malesan bosen pengen ptm biar paham
31,semangat ptm aneh aneh sekolah
32,wi semangat ptm dikelas kena covid pjj
33,semoga ptm diberentikan kak jakarta sekolah ditutup gegara positif
34,iya ngijinin anak vaksin mbak anak rawat rs ambil resiko tau ptm
35,gajadi wkwk harapan ptm
36,ptm kebanyakan tugasnya kelompok
37,awali semangat sekolah ptm belajar
38,anjing taunya ptm
39,heran sekolah kopit sekolahnya adain ptm
40,ptm seindah diharapkan
41,enak banget ptm ptm
42, ptm jam tidurnya berubah ajaa parah
43,pjj gatau semenjak ptm semangat  hilang ngga niat
44,kebijakan ptm ditinjau sekolah anak kejadian sd sma habis ptm keesokannya positif merepotkan ptm kena tracing sekeluarga pcr kenanya sekolah cluster
45,wow temen sekolah uda positive mericon
46,positif kena tracing ptm daring kemaren anak sistemnya
47,gamau pjj anjing enak banget ptm
48,engga ptm capek bangett bentaran doang sekolahnya
49,ptm belajarnya normal jam
50,enak ptm way pagi
51,semangat ptm
52,full ptm suruh pjj tugas kelompok bener
53,ptm males banget
54,hua pjj nder huhu nyobain ptm
55,bangun pjj ngantuk banget ptm ngga
56,ihh bentar ptm bertemu ras manusia berasal ras terkuat muka bumi read wibu
57,enak anjing maunya pjj cape banget ptm
58,pjj aih ptm mulu jaba tugas kelompok wae
59,tau semenjak ptm males
60,pjj hiks pengen ptm
61,ptm diberlakukan namanya nekat
62,pjj mending masuk sistem absensi ganjil genap ketimbang ptm
63,semenjak ptm atm nyetor mulu
64,pjj sekolah ya sekolahku ptm
65,sedih giliran nyaman ptm
66,males banget ptm tidur
67,ptm yaallah nyesek aksa kemana
68,anak kelas sebelah kena sembuh biar ptm
69,ptm ptm sakit gara kecapean
70,halo selamat pagi pjj enakan ptm
71,masuk ptm
72,nataru dilonggarin sekolah dibuka ptm temen story swab rame abis liat
73,temanku males berusaha banget biar ga ptm chat grup
74,ptm kesekolah kegiatan high semangat
75,baca cerita tua curhat kegiatan ptm sekolah anaknya pusing bener nyawa anak
76,ptm sakit badan materi nemplok kepala
77,ngasih info ptm pagi pagi anjing  rapih
78,bayangin kesel kemarin libur ngasih tugas guru pergi disuruh
79,ptm menyenangkan ulangan pakai kertas
80,ptm males daring
81,pjj seruan ptm
82,ptm seru seru bangun pagi
83,ptm anjir sangking emosi typo
84,pjj ptm sadar sekolah bener bener loss prokres
85,ngeri banget takut semester ptm
86,ngantuk banget untung ga ptm
87,capek ptm ihh iya
88,gegara kabupaten level omicron ptm
89,pjj ptm ribet ngga santai tugas makalah hard file
90,ptm hihi semangat
91,jam tidur normal semenjak ptm
92,alhamdulillah ptm pjj
93,bangun pagi gosok gigi cuci muka ptm
94,semenjak ptm jatuh hati kafein
95,bersin mulu takut covid parno gegara ptm
96,ptm istirahatnya gaada coba
97,muridnya covid sekolahnya tutup wkwk lucu banget suka banget ptm ya
98,ptm nambah ilmu dibuku internet oot materi dipelajari
99,maksudnya feel ptm siapin mata pelajaran mandi pagi eh
100,malesnya ptm bocil bangsat mencetin bel rumah  asu pengen takol
101,harian maksain ptm terbatas
102,untung engga ptm tidur suka jam
103,yuhu pjj rumah ptm mari
104,mls ptm
105,ga enak ptm full anak smk sekolah jm jam sore pulang sekolah capek bangett maksain
106,aaa malas banget ptm
107,kayaknya ptm distop
108,ya ptm langsung jebret anak sekolah dijadiin kelinci percobaan omicron
109,ptm nder materi tugasnya ngerti ketimbang pjj abis ptm belajarnya asik bareng temen
110,asli capek ptm ulangan math indo latihan sore jam nyicil ngerjain tugas
111,ribet banget coi kebiasa ptm
112,nunggu positif ngelonjak stop ptm heran waras
113,liat liat sekolah batu anjir tau kena covid ptm diliburin
114,koko cov terdeteksi sekolah imho mas menteri mengevaluasi ptm
115,ptm enak ngerti materi tugas kelompok individu
116,semenjak ptm banget kebangun tidur abis reflek nangis ngeluh capek
117,semoga jogja ga ikutan aduh enak ptm
118,sekolah diterapkan diharuskan dipaksa vaksin ptm
119,ptm uang jajan paham materi pelajari plusnya ketemu mas crush
120,naiknya covid varian omicron sekolah online landai kasusnya ptm
121,please pjj please pengen ngehabisin tersisa lulus
122,smpe teman kampus terpapar gegara ptm awas sja dibatalkan ptm nunggu kena
123,mencium aroma aroma ptm
124,pagi ptm tidur
125,lebihnya pjj jenuh enak ga cape fisik ptm asik ketemu teman
126,ptm berhenti plis stress  dirumah tai
127,ptm gabisa tidur anjing
128,distop penularannya cepat pjj
129,ptm enaknya ketemu guru praktek ayey
130,suka ptm kbm sekolah
131,sumpah ga ga ptm
132,sumpah ptm prank banget semesta
133,tv murid kena weh serem ptm persen
134,ihh ptm males banget
135,kampus  rencananya semester ptm jujur seneng banget degdegan juga ga masuk kelas
136,omicron naiknya ga pencegahan ngga maksain ptm ga nunggu kena
137,ptm penjelasan dipahami tugas dikit menekan pemahaman pjj gila tugas
138,ptm pelajaran meresap
139,sekolahku ngeluh sakit sendi flu batuk badan anget ngalamin ptm
140,semenjak ptm kerjaan  tidur ya ketiduran
141,wkwk tidur jam segitu kaaa enak males banget ptm
142,kemarin ngotot ptm kasusnya covid sekolah ngumpet ya
143,sekolah ptm healing ketawa cekikikan rumah
144,semester ptm full tugasnya daring bedanya sekrang tugas
145,cape ptm jujur
146, msh main hp ptm
147,speechless pemda dki ngotot ptm ngotot jakarta lockdown
148,menemukan pelanggaran prokes pelaksanaan ptm persen
149,semenjak ptm ga stress stress anjing
150,kaya ponakan mak dok bersikeras ortunya vaksin ptm daring
151,ya pjj enak ptm enak omicorn mending pjj ngeri cuy
152,gatau kelebihan  butuhin pjj uhuas dkk ptm gampang dimengerti
153,kemarin kena ptm
154,way ya audeh nangis ptm huhu
155,shift lelah banget nget nget ngerjain tugas pagi ngerjainnya takut ga selesai
156,aa lumayan nyaman ptm bentar otak bodoh
157,ptm pengen sesi hapalan bahasa inggris keagamaan pusing
158,teguran ingatkan berkali prokes diterapkan sekolah sanksi
159,males ngotorin seragam buang bensin pensi doang ya ngapain mending rumah
160,kayaknya sekolah pjj sekolah ptm aneh
161,cewe mending ptm tar biar bucin plek plek plek
162,sekelas positif covid kantin kopsis sekolah ditutup disuruh ptm
163,pjj ptm teman asik pjj capek kuat ngerjain tugas masuk otak
164,lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya kejar materi isinya
165,ptm ganti belajar online trus pelajar vaksin kemarin dipaksa
166,wow bercandain ptm dadakan nyaman ptm tugas numpuk numpuk
167,takut pjj jujur sebenernya males ptm tugas kelompok banget males ngerjainnya online online ribet
168,nangis sekolahku sistem pjj bismillah ptm
169,males siswa guru buka masker ptm
170,hoo kentut ptm kentut kentut
171,dengar ptm ya tatap muka belajarnya kerjanya wfh
172,temen sebangku duduk ptm
173,ptm pjj membuatku malas belajar
174,mending turu ptm tai kucing
175,yolahh seneng pjj ptm seru
176,enak bener ptm
177,update terkini wes bosen ptm
178,bayangin ptm dikasih tugas
179,awali semangat sekolah ptm belajar
180,ptm membuatku sibuk
181,es pjj kayaknya kangen ptm
182,ptm males banget pengen bobo
183,seru seru ptm
184,hadeh sibuk gegara sekolah ptm bentar wisuda kshakahsa seneng banget wisudanya offline
185,oke sekolah ptm kena
186,ptm semoga ptm amin
187,ptm sekolah kena omnicorn yaudah yuk pjj wkwk
188,dahlah ptm awet
189,jujur suka ptm temen beda sesi gapunya temen sesi kaya sebelumya
190,gaenak ptm belajar narik ingus mulu
191,gara ptm julid suka lupa pls
192,semenjak ptm suka lupa deadline tugas pjj inget
193,ayolah hentikan ptm kesehatan warga jakarta
194,pjj ptm pahamnya tapi kurangnya ptm tugas fokus materi
195,ptm ihh mls banget
196,anjay ptm
197,ptm cape tau ahaha
198,ptm bangsat
199,ptm capek banget
200,sekolahku ptm nder ademm banget kayaknya covid
201,konsisten banget pjj ya pjj ptm ya ptm
202,nyamannya ptm
203,takut full ptm tugas tugas baris ngejar
204,ptm enaknya pas kelompokan
205,online aaa iya seru ptm
206,iyaa capek ptm
207,anjir pjj emg banget tugasnya ptm
208,ptm remuk anjir badan
209,ptm pelajarannya masuk otak pjj jujur guruku jarang banget zoom ngasih materi
210,ptm mending pjj
211,bangsat doain sekolah biar pjj males bangun pagi anjing ptm
212,pengen pjj ptm
213,ptm jdi ptmt sialan
214,positif sekolah tenang ptm rambut gondrong dicat pulang mas mbak dibenerin rambutnya nggih
215,kembaliin tidurku woi anjir ptm tugas
216,males ptm
217,males banget ptm
218,sekolah ptm males tulang
219,sekolah stop ptm ya anak usia vaksin
220,semoga pjj ajaran ya allah gatau suka ptm
221,bajingan ptm tugas presentasi banget ngentot
222,semangat sekolah ptm
223,covid meningkat kaji ulang ptm penghentian ptm opsi lakukan berbasis kajian
224,mager sekolah kejepit liburnya ptm
225,thoughts pilihan sebenernya pjj ptm ptm
226,first ptm jam set berasa banget
227,pjj ptm asik ga mood sekolah xixi
228,ptm anjing
229,ptm pjj
230,jogja berlakukan ptm persen siswa positif semoga landai
231,positif ptm guru guru sidak prokes dadakan
232,pengennya ptm
233,sekolah bilangnya prov jateng pjj ptm kurangi pjj
234,daring  ptm
235,jakarta ptm ga pjj sisanya ptm sekolah
236,ga deng wkwk ptm suka ptm really really fun tho
237,sekolah kalbar ptm kedepannya ptm
238,bekasi pusat nder sebenernya ptm
239,gatau ptm
240,ptm menurutku efisien sekelas ngelanggar prokes kaya jaga jarak
241,woi sekolahku ptm persen njir ga sesi anjing
242,seneng ptm tau bikin samoga daring
243,gamau pjj gamau ptm maunya ptm
244,eh  ptm suka mata pelajaran mtk kimia pjok olahraga sisanya kabur kantin
245,kesel ptm
246,ptm
247,sekolah daring nyaman ptm masuk sekolah
248,mending pjj gasih kaya ptm waswas
249,ga bolehin pjj yaudah maksa banget ptm
250,full pjj pjj ptm ptm vaksin
251,dom serang ptm untungnya omongan pjj
252,gatau bukanya ptm sekolah  semoga
253,aaaaaa ptm huhu ga seru bangett kemarin ptm
254,wih ptm full
255,kayanya sekolahku malang bener ngga sekolahku
256,ptm masuknya gantian
257,ptm kantin buka kantin tutup alhamdulillah aman
258,jujur seneng seneng full ptm full ptm suruh anjing
259,punyaku ptm tau
260,eh asik ptm tetangga positif sekolahku
261,pengen ptm
262,sial sekolahku ptm
263,ptm pelajaran produktif praktikum mtk pjok bk
264,sekolah gaada covid ptm mah ngeri circle
265,pjj selang seling kak ptm pjj dapetnya anjir males
266,nyaman ptm ptmt huft
267,moots nakut nakutin omicron emang cuepet nyebarnya salah teman fb anaknya sd
268,anjing sekolah adil banget njir ptm ganjil genap kemarin genap jam ganjil
269,nder sehari ptm pjj
270,anjir ptm
271,merasakan indahnya ptm eh ubah ptm tai tai
272,ptm wfh selamat anak pekerja selamatkan
273,pengen pjj ptm
274,jogja berlakukan ptm persen siswa positif semoga landai
275,jujur pengen ptm takut buka masker
276,sekolahku uji coba pake sistem hybrid ptm pjj siswa sekolah sebelah
277,sender ptm disesi ya allah sender masuk jam sesi jam sesi protes
