id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:55 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@xxxuuxxxiii smgt ptm ray,,in,0,0,kyjaehyun,,,xxxuuxxxiii,nct svt itzy treasure,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@room1on sama tp besok udah ptm, jgn lupa sarapan mi",,in,0,0,skiesgumi,,,room1on,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:47 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",knp kalo ptm 50% yang pjj selalu terlantarkan,,in,0,0,ccanyonm0on,,,,she/her,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yh kalaupun besok beneran ptm semoga jadwalnya ganti lg 😔😔 https://t.co/SOAHImzREv,,in,0,0,xunflavour,FALSE,,,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:17 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",halo gua lagi ptm hihii,,in,0,0,yoshiqu,,,,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aku skrng ptm, semangat 😁💪🏻",,in,0,0,nishiwmurariki,,,,ww.candyland.com,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:09:01 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@skiesgumi pjj, tpi rumornya si tnggal 4 bkal balik ptm lagi. jobe sndiri?",,in,0,0,room1on,,,skiesgumi,she | INTP-T,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:08:57 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@okktsuh mario lagi ptm apa pjj,,in,1,0,skiesgumi,,,okktsuh,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:08:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",awali pagi ptm pake lagu bucin 😩💃 https://t.co/wJ2Vn8rtCF,,in,0,0,aeaeboo_,FALSE,,,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:08:23 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",woi tmn tmn gue pada ptm gue pjj gada tmen doain ga ditanya guru soalnya gada yg bantu jwb,,in,0,0,yujintangsel,,,,dnf w/o consent,
,,,,,,,,,,,,,
